name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Autauga County;us-al-ehd;us-al-autauga;County;TRUE;55869;AL;
Baldwin County;us-al-swhd;us-al-baldwin;County;TRUE;223234;AL;
Barbour County;us-al-sehd;us-al-barbour;County;TRUE;24686;AL;
Bibb County;us-al-whd;us-al-bibb;County;TRUE;22394;AL;
Blount County;us-al-nehd;us-al-blount;County;TRUE;57826;AL;
Bullock County;us-al-ehd;us-al-bullock;County;TRUE;10101;AL;
Butler County;us-al-sehd;us-al-butler;County;TRUE;19448;AL;
Calhoun County;us-al-nehd;us-al-calhoun;County;TRUE;113605;AL;
Chambers County;us-al-ehd;us-al-chambers;County;TRUE;33254;AL;
Cherokee County;us-al-nehd;us-al-cherokee;County;TRUE;26196;AL;
Chilton County;us-al-whd;us-al-chilton;County;TRUE;44428;AL;
Choctaw County;us-al-swhd;us-al-choctaw;County;TRUE;12589;AL;
Clarke County;us-al-swhd;us-al-clarke;County;TRUE;23622;AL;
Clay County;us-al-nehd;us-al-clay;County;TRUE;13235;AL;
Cleburne County;us-al-nehd;us-al-cleburne;County;TRUE;14910;AL;
Coffee County;us-al-sehd;us-al-coffee;County;TRUE;52342;AL;
Colbert County;us-al-nhd;us-al-colbert;County;TRUE;55241;AL;
Conecuh County;us-al-swhd;us-al-conecuh;County;TRUE;12067;AL;
Coosa County;us-al-ehd;us-al-coosa;County;TRUE;10663;AL;
Covington County;us-al-sehd;us-al-covington;County;TRUE;37049;AL;
Crenshaw County;us-al-sehd;us-al-crenshaw;County;TRUE;13772;AL;
Cullman County;us-al-nhd;us-al-cullman;County;TRUE;83768;AL;
Dale County;us-al-sehd;us-al-dale;County;TRUE;49172;AL;
Dallas County;us-al-swhd;us-al-dallas;County;TRUE;37196;AL;
DeKalb County;us-al-nehd;us-al-dekalb;County;TRUE;71513;AL;
Elmore County;us-al-ehd;us-al-elmore;County;TRUE;81209;AL;
Escambia County;us-al-swhd;us-al-escambia;County;TRUE;36633;AL;
Etowah County;us-al-nehd;us-al-etowah;County;TRUE;102268;AL;
Fayette County;us-al-whd;us-al-fayette;County;TRUE;16302;AL;
Franklin County;us-al-nhd;us-al-franklin;County;TRUE;31362;AL;
Geneva County;us-al-sehd;us-al-geneva;County;TRUE;26271;AL;
Greene County;us-al-whd;us-al-greene;County;TRUE;8111;AL;
Hale County;us-al-whd;us-al-hale;County;TRUE;14651;AL;
Henry County;us-al-sehd;us-al-henry;County;TRUE;17205;AL;
Houston County;us-al-sehd;us-al-houston;County;TRUE;105882;AL;
Jackson County;us-al-nhd;us-al-jackson;County;TRUE;51626;AL;
Jefferson County;us-al;us-al-jefferson;County;TRUE;658573;AL;
Lamar County;us-al-whd;us-al-lamar;County;TRUE;13805;AL;
Lauderdale County;us-al-nhd;us-al-lauderdale;County;TRUE;92729;AL;
Lawrence County;us-al-nhd;us-al-lawrence;County;TRUE;32924;AL;
Lee County;us-al-ehd;us-al-lee;County;TRUE;164542;AL;
Limestone County;us-al-nhd;us-al-limestone;County;TRUE;98915;AL;
Lowndes County;us-al-ehd;us-al-lowndes;County;TRUE;9726;AL;
Macon County;us-al-ehd;us-al-macon;County;TRUE;18068;AL;
Madison County;us-al-nhd;us-al-madison;County;TRUE;372909;AL;
Marengo County;us-al-swhd;us-al-marengo;County;TRUE;18863;AL;
Marion County;us-al-nhd;us-al-marion;County;TRUE;29709;AL;
Marshall County;us-al-nhd;us-al-marshall;County;TRUE;96774;AL;
Mobile County;us-al;us-al-mobile;County;TRUE;413210;AL;
Monroe County;us-al-swhd;us-al-monroe;County;TRUE;20733;AL;
