name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Appling County;us-ga-sehd;us-ga-appling;County;TRUE;18386;GA;
Atkinson County;us-ga-sehd;us-ga-atkinson;County;TRUE;8165;GA;
Bacon County;us-ga-sehd;us-ga-bacon;County;TRUE;11164;GA;
Baker County;us-ga-swhd;us-ga-baker;County;TRUE;3038;GA;
Baldwin County;us-ga-nchd;us-ga-baldwin;County;TRUE;44890;GA;
Banks County;us-ga-nhd;us-ga-banks;County;TRUE;19234;GA;
Barrow County;us-ga-nehd;us-ga-barrow;County;TRUE;83240;GA;
Bartow County;us-ga-nwhd;us-ga-bartow;County;TRUE;107738;GA;
Ben Hill County;us-ga-shd;us-ga-ben-hill;County;TRUE;16700;GA;
Berrien County;us-ga-shd;us-ga-berrien;County;TRUE;19397;GA;
Bibb County;us-ga-nchd;us-ga-bibb;County;TRUE;153159;GA;
Bleckley County;us-ga-schd;us-ga-bleckley;County;TRUE;12873;GA;
Brantley County;us-ga-sehd;us-ga-brantley;County;TRUE;19109;GA;
Brooks County;us-ga-shd;us-ga-brooks;County;TRUE;15457;GA;
Bryan County;us-ga-coastal;us-ga-bryan;County;TRUE;39627;GA;
Bulloch County;us-ga-sehd;us-ga-bulloch;County;TRUE;79608;GA;
Burke County;us-ga-echd;us-ga-burke;County;TRUE;22383;GA;
Butts County;us-ga-lagrange;us-ga-butts;County;TRUE;24936;GA;
Calhoun County;us-ga-swhd;us-ga-calhoun;County;TRUE;6189;GA;
Camden County;us-ga-coastal;us-ga-camden;County;TRUE;54666;GA;
Candler County;us-ga-sehd;us-ga-candler;County;TRUE;10803;GA;
Carroll County;us-ga-lagrange;us-ga-carroll;County;TRUE;119992;GA;
Catoosa County;us-ga-nwhd;us-ga-catoosa;County;TRUE;67580;GA;
Charlton County;us-ga-sehd;us-ga-charlton;County;TRUE;13392;GA;
Chatham County;us-ga-coastal;us-ga-chatham;County;TRUE;289430;GA;
Chattahoochee County;us-ga-wchd;us-ga-chattahoochee;County;TRUE;10907;GA;
Chattooga County;us-ga-nwhd;us-ga-chattooga;County;TRUE;24789;GA;
Cherokee County;us-ga-nghd;us-ga-cherokee;County;TRUE;258773;GA;
Clarke County;us-ga-nehd;us-ga-clarke;County;TRUE;128331;GA;
Clay County;us-ga-wchd;us-ga-clay;County;TRUE;2834;GA;
Clayton County;us-ga;us-ga-clayton;County;TRUE;292256;GA;
Clinch County;us-ga-sehd;us-ga-clinch;County;TRUE;6618;GA;
Cobb County;us-ga-cobb-douglas;us-ga-cobb;County;TRUE;760141;GA;
Coffee County;us-ga-sehd;us-ga-coffee;County;TRUE;43273;GA;
Colquitt County;us-ga-swhd;us-ga-colquitt;County;TRUE;45600;GA;
Columbia County;us-ga-echd;us-ga-columbia;County;TRUE;156714;GA;
Cook County;us-ga-shd;us-ga-cook;County;TRUE;17270;GA;
Coweta County;us-ga-lagrange;us-ga-coweta;County;TRUE;148509;GA;
Crawford County;us-ga-nchd;us-ga-crawford;County;TRUE;12404;GA;
Crisp County;us-ga-wchd;us-ga-crisp;County;TRUE;22372;GA;
