name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Adair County;us-ia;us-ia-adair;County;TRUE;7152;IA;https://www.adaircountyhealthsystem.org/home_public_health.html
Appanoose County;us-ia;us-ia-appanoose;County;TRUE;12426;IA;http://www.appanoosecounty.net/health/index.html
Audubon County;us-ia;us-ia-audubon;County;TRUE;5496;IA;https://www.auduboncountyia.gov/county-information/public-health.aspx
Benton County;us-ia;us-ia-benton;County;TRUE;25645;IA;https://www.bentoncountyia.gov/public_health/
Black Hawk County;us-ia;us-ia-black-hawk;County;TRUE;131228;IA;https://www.bhcpublichealth.org/
Boone County;us-ia;us-ia-boone;County;TRUE;26234;IA;http://www.boonehospital.com
Bremer County;us-ia;us-ia-bremer;County;TRUE;25062;IA;https://www.bremercounty.iowa.gov/departments/health_department/index.php
Buchanan County;us-ia;us-ia-buchanan;County;TRUE;21175;IA;http://www.buchanancountyiowa.org/services/public_health/index.php
Buena Vista County;us-ia;us-ia-buena-vista;County;TRUE;19620;IA;https://buenavistacounty.iowa.gov/index.php/departments/public-health-home-care/
Butler County;us-ia;us-ia-butler;County;TRUE;14439;IA;http://www.butlercoiowa.org
Calhoun County;us-ia;us-ia-calhoun;County;TRUE;9668;IA;https://www.calhouncountyiowa.com/
Carroll County;us-ia;us-ia-carroll;County;TRUE;20165;IA;http://www.stanthonyhospital.org
Cass County;us-ia;us-ia-cass;County;TRUE;12836;IA;http://www.casshealth.org
Cedar County;us-ia;us-ia-cedar;County;TRUE;18627;IA;https://cedarcounty.iowa.gov/public_health/
Cerro Gordo County;us-ia;us-ia-cerro-gordo;County;TRUE;42450;IA;http://www.cghealth.com
Cherokee County;us-ia;us-ia-cherokee;County;TRUE;11235;IA;https://www.cherokeermc.org/service/public-health/
Chickasaw County;us-ia;us-ia-chickasaw;County;TRUE;11933;IA;https://chickasawcounty.iowa.gov/public_health/
Clarke County;us-ia;us-ia-clarke;County;TRUE;9395;IA;http://www.clarkecountypublichealth.org
Clay County;us-ia;us-ia-clay;County;TRUE;16016;IA;http://www.spencerhospital.org
Clayton County;us-ia;us-ia-clayton;County;TRUE;17549;IA;https://www.unitypoint.org/dubuque/services-clayton-county-vna-services.aspx
Crawford County;us-ia;us-ia-crawford;County;TRUE;16820;IA;http://www.crawfordcountyhealth.com
Dallas County;us-ia;us-ia-dallas;County;TRUE;93453;IA;https://www.dallascountyiowa.gov/publichealth
Davis County;us-ia;us-ia-davis;County;TRUE;9000;IA;https://www.dchc.org/
Decatur County;us-ia;us-ia-decatur;County;TRUE;7870;IA;https://decatur.municipalcms.com/pview.aspx?id=7300
Delaware County;us-ia;us-ia-delaware;County;TRUE;17011;IA;http://www.regmedctr.org
Des Moines County;us-ia;us-ia-des-moines;County;TRUE;38967;IA;http://dmcounty.com
Dickinson County;us-ia;us-ia-dickinson;County;TRUE;17258;IA;https://dickinsoncountyiowa.gov/
Dubuque County;us-ia;us-ia-dubuque;County;TRUE;97311;IA;https://www.dubuquecountyiowa.gov/223/Health-Department
Emmet County;us-ia;us-ia-emmet;County;TRUE;9208;IA;https://emmetcounty.iowa.gov/public-health/
Floyd County;us-ia;us-ia-floyd;County;TRUE;15642;IA;http://www.floydcoia.org/
