name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Adams County;us-in;us-in-adams;County;TRUE;35777;IN;
Allen County;us-in;us-in-allen;County;TRUE;379299;IN;
Bartholomew County;us-in;us-in-bartholomew;County;TRUE;83779;IN;
Benton County;us-in;us-in-benton;County;TRUE;8748;IN;
Blackford County;us-in;us-in-blackford;County;TRUE;11758;IN;
Boone County;us-in;us-in-boone;County;TRUE;67843;IN;
Brown County;us-in;us-in-brown;County;TRUE;15092;IN;
Carroll County;us-in;us-in-carroll;County;TRUE;20257;IN;
Cass County;us-in;us-in-cass;County;TRUE;37689;IN;
Clark County;us-in;us-in-clark;County;TRUE;118302;IN;
Clay County;us-in;us-in-clay;County;TRUE;26225;IN;
Clinton County;us-in;us-in-clinton;County;TRUE;32399;IN;
Crawford County;us-in;us-in-crawford;County;TRUE;10577;IN;
Daviess County;us-in;us-in-daviess;County;TRUE;33351;IN;
Dearborn County;us-in;us-in-dearborn;County;TRUE;49458;IN;
Decatur County;us-in;us-in-decatur;County;TRUE;26559;IN;
DeKalb County;us-in;us-in-dekalb;County;TRUE;43475;IN;
Delaware County;us-in;us-in-delaware;County;TRUE;114135;IN;
Dubois County;us-in;us-in-dubois;County;TRUE;42736;IN;
Elkhart County;us-in;us-in-elkhart;County;TRUE;206341;IN;
Fayette County;us-in;us-in-fayette;County;TRUE;23102;IN;
Floyd County;us-in;us-in-floyd;County;TRUE;78522;IN;
Fountain County;us-in;us-in-fountain;County;TRUE;16346;IN;
Franklin County;us-in;us-in-franklin;County;TRUE;22758;IN;
Fulton County;us-in;us-in-fulton;County;TRUE;19974;IN;
Gibson County;us-in;us-in-gibson;County;TRUE;33659;IN;
Grant County;us-in;us-in-grant;County;TRUE;65769;IN;
Greene County;us-in;us-in-greene;County;TRUE;31922;IN;
Hamilton County;us-in;us-in-hamilton;County;TRUE;338011;IN;
Hancock County;us-in;us-in-hancock;County;TRUE;78168;IN;
Harrison County;us-in;us-in-harrison;County;TRUE;40515;IN;
Hendricks County;us-in;us-in-hendricks;County;TRUE;170311;IN;
Henry County;us-in;us-in-henry;County;TRUE;47972;IN;
Howard County;us-in;us-in-howard;County;TRUE;82544;IN;
Huntington County;us-in;us-in-huntington;County;TRUE;36520;IN;
Jackson County;us-in;us-in-jackson;County;TRUE;44231;IN;
Jasper County;us-in;us-in-jasper;County;TRUE;33562;IN;
Jay County;us-in;us-in-jay;County;TRUE;20436;IN;
Jefferson County;us-in;us-in-jefferson;County;TRUE;32308;IN;
Jennings County;us-in;us-in-jennings;County;TRUE;27735;IN;
Johnson County;us-in;us-in-johnson;County;TRUE;158167;IN;
Knox County;us-in;us-in-knox;County;TRUE;36594;IN;
Kosciusko County;us-in;us-in-kosciusko;County;TRUE;79456;IN;
LaGrange County;us-in;us-in-lagrange;County;TRUE;39614;IN;
Lake County;us-in;us-in-lake;County;TRUE;485493;IN;
LaPorte County;us-in;us-in-laporte;County;TRUE;109888;IN;
Lawrence County;us-in;us-in-lawrence;County;TRUE;45370;IN;
