name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Comanche County;us-ks;us-ks-comanche;County;TRUE;1700;KS;
Greeley County;us-ks;us-ks-greeley;County;TRUE;1232;KS;
Harper County;us-ks;us-ks-harper;County;TRUE;5436;KS;
Kearny County;us-ks;us-ks-kearny;County;TRUE;3838;KS;
Kingman County;us-ks;us-ks-kingman;County;TRUE;7152;KS;
Leavenworth County;us-ks;us-ks-leavenworth;County;TRUE;81758;KS;
Norton County;us-ks;us-ks-norton;County;TRUE;5361;KS;
Pratt County;us-ks;us-ks-pratt;County;TRUE;9164;KS;
Republic County;us-ks;us-ks-republic;County;TRUE;4636;KS;
Rooks County;us-ks;us-ks-rooks;County;TRUE;4920;KS;
Sherman County;us-ks;us-ks-sherman;County;TRUE;5917;KS;
Wichita County;us-ks;us-ks-wichita;County;TRUE;2119;KS;
Barber County;us-ks;us-ks-barber;County;TRUE;4427;KS;https://barber.ks.gov/health-department.html
Barton County;us-ks;us-ks-barton;County;TRUE;25779;KS;https://www.bartoncounty.org/vnews/display.v/SEC/Health%20Department
Chase County;us-ks;us-ks-chase;County;TRUE;2648;KS;http://chasecountyks.com/index.php/health-emergency-services/health-department
Chautauqua County;us-ks;us-ks-chautauqua;County;TRUE;3250;KS;https://www.chautauquacountyks.com/health-department
Cheyenne County;us-ks;us-ks-cheyenne;County;TRUE;2657;KS;https://www.cheyennecountyhospital.com/services/county_health_department.aspx
Cloud County;us-ks;us-ks-cloud;County;TRUE;8786;KS;https://ks1120.cichosting.com/main/health-department/cloud-county-health-department
Coffey County;us-ks;us-ks-coffey;County;TRUE;8179;KS;https://www.coffeycountyks.org/198/Health-Department
Cowley County;us-ks;us-ks-cowley;County;TRUE;34908;KS;https://www.cowleycountyks.gov/departments/PublicHealth
Dickinson County;us-ks;us-ks-dickinson;County;TRUE;18466;KS;http://www.dkcoks.org/index.aspx?nid=64
Doniphan County;us-ks;us-ks-doniphan;County;TRUE;7600;KS;https://dpcountyks.com/dept/health-dept-home-health/
Douglas County;us-ks;us-ks-douglas;County;TRUE;122259;KS;https://ldchealth.org/
Edwards County;us-ks;us-ks-edwards;County;TRUE;2798;KS;http://www.edcohealth.com
Elk County;us-ks;us-ks-elk;County;TRUE;2530;KS;https://elkcountyks.org/index.php/county-departments/elk-county-health
Ellis County;us-ks;us-ks-ellis;County;TRUE;28553;KS;https://www.ellisco.net/97/Health
Ellsworth County;us-ks;us-ks-ellsworth;County;TRUE;6102;KS;http://ellsworthcounty.org/Health%20Department.html
Finney County;us-ks;us-ks-finney;County;TRUE;36467;KS;https://www.finneycounty.org/139/Health-Department
Ford County;us-ks;us-ks-ford;County;TRUE;33619;KS;https://www.fordcounty.net/231/Health-Department
Geary County;us-ks;us-ks-geary;County;TRUE;31670;KS;https://www.gearycounty.org/1398/Geary-County-Public-Health-Department
Gove County;us-ks;us-ks-gove;County;TRUE;2636;KS;https://govecountyks.gov/health/
Gray County;us-ks;us-ks-gray;County;TRUE;5988;KS;https://www.grayco.org/health-department
Greenwood County;us-ks;us-ks-greenwood;County;TRUE;5982;KS;https://www.greenwoodcounty.org/health-department/
Harvey County;us-ks;us-ks-harvey;County;TRUE;34429;KS;https://www.harveycounty.com/departments/health-department.html
Haskell County;us-ks;us-ks-haskell;County;TRUE;3968;KS;https://www.satantahospital.net/haskell-county-health-dept
Hodgeman County;us-ks;us-ks-hodgeman;County;TRUE;1794;KS;https://hgcohealthdept.com/
Jewell County;us-ks;us-ks-jewell;County;TRUE;2879;KS;https://www.jewellcountyhealth.com/
Johnson County;us-ks;us-ks-johnson;County;TRUE;602401;KS;https://www.jocogov.org/dept/health-and-environment/home
Kiowa County;us-ks;us-ks-kiowa;County;TRUE;2475;KS;https://kiowacountyks.org/health-department/
Labette County;us-ks;us-ks-labette;County;TRUE;19618;KS;https://labettecounty.com/health-department
Lane County;us-ks;us-ks-lane;County;TRUE;1535;KS;http://www.lanecountyks.org/health-department.htm
Linn County;us-ks;us-ks-linn;County;TRUE;9703;KS;https://www.linncountyks.com/departments/health-department
Logan County;us-ks;us-ks-logan;County;TRUE;2794;KS;https://www.logancountyhealth.com/
Lyon County;us-ks;us-ks-lyon;County;TRUE;33195;KS;https://www.publichealth.lyoncounty.org/
McPherson County;us-ks;us-ks-mcpherson;County;TRUE;28542;KS;https://www.mcphersoncountyks.us/15/Health-Department
Meade County;us-ks;us-ks-meade;County;TRUE;4033;KS;http://www.meadeco.org
Morris County;us-ks;us-ks-morris;County;TRUE;5620;KS;https://www.morriscountyks.org/health-department
Morton County;us-ks;us-ks-morton;County;TRUE;2587;KS;https://mtcoks.com/191/Health
Nemaha County;us-ks;us-ks-nemaha;County;TRUE;10231;KS;https://www.ncchsks.org/
Neosho County;us-ks;us-ks-neosho;County;TRUE;16007;KS;https://www.neoshocountyks.org/181/Health-Department
Ness County;us-ks;us-ks-ness;County;TRUE;2750;KS;https://www.nesscountyks.com/departments/health-department
