name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Adair County;us-ky-lcdhd;us-ky-adair;County;TRUE;19202;KY;
Allen County;us-ky;us-ky-allen;County;TRUE;21315;KY;
Anderson County;us-ky;us-ky-anderson;County;TRUE;22747;KY;
Ballard County;us-ky-purchase;us-ky-ballard;County;TRUE;7888;KY;
Barren County;us-ky-barren-river;us-ky-barren;County;TRUE;44249;KY;
Bath County;us-ky-gdhd;us-ky-bath;County;TRUE;12500;KY;
Bell County;us-ky-cvdh;us-ky-bell;County;TRUE;26032;KY;
Boone County;us-ky-nky;us-ky-boone;County;TRUE;133581;KY;
Bourbon County;us-ky;us-ky-bourbon;County;TRUE;19788;KY;
Boyd County;us-ky;us-ky-boyd;County;TRUE;46718;KY;
Boyle County;us-ky;us-ky-boyle;County;TRUE;30060;KY;
Bracken County;us-ky;us-ky-bracken;County;TRUE;8303;KY;
Breathitt County;us-ky;us-ky-breathitt;County;TRUE;12630;KY;
Breckinridge County;us-ky;us-ky-breckinridge;County;TRUE;20477;KY;
Bullitt County;us-ky;us-ky-bullitt;County;TRUE;81676;KY;
Butler County;us-ky-barren-river;us-ky-butler;County;TRUE;12879;KY;
Caldwell County;us-ky-pennyrile;us-ky-caldwell;County;TRUE;12747;KY;
Calloway County;us-ky;us-ky-calloway;County;TRUE;39001;KY;
Campbell County;us-ky-nky;us-ky-campbell;County;TRUE;93584;KY;
Carlisle County;us-ky-purchase;us-ky-carlisle;County;TRUE;4760;KY;
Carroll County;us-ky-trdhd;us-ky-carroll;County;TRUE;10631;KY;
Carter County;us-ky;us-ky-carter;County;TRUE;26797;KY;
Casey County;us-ky-lcdhd;us-ky-casey;County;TRUE;16159;KY;
Christian County;us-ky;us-ky-christian;County;TRUE;70461;KY;
Clark County;us-ky;us-ky-clark;County;TRUE;36263;KY;
Clay County;us-ky-cvdh;us-ky-clay;County;TRUE;19901;KY;
Clinton County;us-ky-lcdhd;us-ky-clinton;County;TRUE;10218;KY;
Crittenden County;us-ky-pennyrile;us-ky-crittenden;County;TRUE;8806;KY;
Cumberland County;us-ky-lcdhd;us-ky-cumberland;County;TRUE;6614;KY;
Daviess County;us-ky-green-river;us-ky-daviess;County;TRUE;101511;KY;
Edmonson County;us-ky-barren-river;us-ky-edmonson;County;TRUE;12150;KY;
Elliott County;us-ky-gdhd;us-ky-elliott;County;TRUE;7517;KY;
Estill County;us-ky;us-ky-estill;County;TRUE;14106;KY;
Fayette County;us-ky;us-ky-fayette;County;TRUE;323152;KY;
Fleming County;us-ky;us-ky-fleming;County;TRUE;14581;KY;
Floyd County;us-ky;us-ky-floyd;County;TRUE;35589;KY;
Franklin County;us-ky;us-ky-franklin;County;TRUE;50991;KY;
Fulton County;us-ky-purchase;us-ky-fulton;County;TRUE;5969;KY;
Gallatin County;us-ky-trdhd;us-ky-gallatin;County;TRUE;8869;KY;
Garrard County;us-ky;us-ky-garrard;County;TRUE;17666;KY;
Grant County;us-ky-nky;us-ky-grant;County;TRUE;25069;KY;
Graves County;us-ky;us-ky-graves;County;TRUE;37266;KY;
Grayson County;us-ky;us-ky-grayson;County;TRUE;26427;KY;
Green County;us-ky-lcdhd;us-ky-green;County;TRUE;10941;KY;
Greenup County;us-ky;us-ky-greenup;County;TRUE;35098;KY;
Hancock County;us-ky-green-river;us-ky-hancock;County;TRUE;8722;KY;
Hardin County;us-ky-ltdhd;us-ky-hardin;County;TRUE;110958;KY;
Harlan County;us-ky-cvdh;us-ky-harlan;County;TRUE;26010;KY;
Harrison County;us-ky-wedco;us-ky-harrison;County;TRUE;18886;KY;
Hart County;us-ky-barren-river;us-ky-hart;County;TRUE;19035;KY;
Henderson County;us-ky-green-river;us-ky-henderson;County;TRUE;45210;KY;
Henry County;us-ky-ncdhd;us-ky-henry;County;TRUE;16126;KY;
Hickman County;us-ky-purchase;us-ky-hickman;County;TRUE;4380;KY;
Hopkins County;us-ky;us-ky-hopkins;County;TRUE;44686;KY;
Jackson County;us-ky-cvdh;us-ky-jackson;County;TRUE;13329;KY;
Jefferson County;us-ky;us-ky-jefferson;County;TRUE;766757;KY;
Jessamine County;us-ky;us-ky-jessamine;County;TRUE;54115;KY;
Johnson County;us-ky;us-ky-johnson;County;TRUE;22188;KY;
Kenton County;us-ky-nky;us-ky-kenton;County;TRUE;166998;KY;
Knott County;us-ky-krdhd;us-ky-knott;County;TRUE;14806;KY;
Knox County;us-ky;us-ky-knox;County;TRUE;31145;KY;
Larue County;us-ky-ltdhd;us-ky-larue;County;TRUE;14398;KY;
Laurel County;us-ky;us-ky-laurel;County;TRUE;60813;KY;
Lawrence County;us-ky;us-ky-lawrence;County;TRUE;15317;KY;
Lee County;us-ky-krdhd;us-ky-lee;County;TRUE;7403;KY;
Leslie County;us-ky-krdhd;us-ky-leslie;County;TRUE;9877;KY;
Letcher County;us-ky-krdhd;us-ky-letcher;County;TRUE;21553;KY;
Lewis County;us-ky;us-ky-lewis;County;TRUE;13275;KY;
Lincoln County;us-ky;us-ky-lincoln;County;TRUE;24549;KY;
Livingston County;us-ky-pennyrile;us-ky-livingston;County;TRUE;9194;KY;
Logan County;us-ky-barren-river;us-ky-logan;County;TRUE;27102;KY;
Lyon County;us-ky-pennyrile;us-ky-lyon;County;TRUE;8210;KY;
McCracken County;us-ky-purchase;us-ky-mccracken;County;TRUE;65418;KY;
McCreary County;us-ky-lcdhd;us-ky-mccreary;County;TRUE;17231;KY;
McLean County;us-ky-green-river;us-ky-mclean;County;TRUE;9207;KY;
Madison County;us-ky;us-ky-madison;County;TRUE;92987;KY;
Magoffin County;us-ky;us-ky-magoffin;County;TRUE;12161;KY;
Marion County;us-ky-ltdhd;us-ky-marion;County;TRUE;19273;KY;
Marshall County;us-ky;us-ky-marshall;County;TRUE;31100;KY;
Martin County;us-ky;us-ky-martin;County;TRUE;11195;KY;
Mason County;us-ky-buffalo-trace;us-ky-mason;County;TRUE;17070;KY;
Meade County;us-ky-ltdhd;us-ky-meade;County;TRUE;28572;KY;
Menifee County;us-ky-gdhd;us-ky-menifee;County;TRUE;6489;KY;
Mercer County;us-ky;us-ky-mercer;County;TRUE;21933;KY;
Metcalfe County;us-ky-barren-river;us-ky-metcalfe;County;TRUE;10071;KY;
Monroe County;us-ky;us-ky-monroe;County;TRUE;10650;KY;
Montgomery County;us-ky;us-ky-montgomery;County;TRUE;28157;KY;
Morgan County;us-ky-gdhd;us-ky-morgan;County;TRUE;13309;KY;
Muhlenberg County;us-ky;us-ky-muhlenberg;County;TRUE;30622;KY;
Nelson County;us-ky-ltdhd;us-ky-nelson;County;TRUE;46233;KY;
Nicholas County;us-ky-wedco;us-ky-nicholas;County;TRUE;7269;KY;
Ohio County;us-ky-green-river;us-ky-ohio;County;TRUE;23994;KY;
Oldham County;us-ky;us-ky-oldham;County;TRUE;66799;KY;
Owen County;us-ky-trdhd;us-ky-owen;County;TRUE;10901;KY;
Owsley County;us-ky-krdhd;us-ky-owsley;County;TRUE;4415;KY;
Pendleton County;us-ky-trdhd;us-ky-pendleton;County;TRUE;14590;KY;
