name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Iberia Parish;us-la-region-4;us-la-iberia;Parish;TRUE;69830;LA;
Acadia Parish;us-la-region-4;us-la-acadia;Parish;TRUE;62045;LA;http://ldh.la.gov/index.cfm/directory/detail/4518/catid/338
Allen Parish;us-la-region-5;us-la-allen;Parish;TRUE;25627;LA;http://ldh.la.gov/index.cfm/directory/detail/4781/catid/363
Ascension Parish;us-la-region-2;us-la-ascension;Parish;TRUE;126604;LA;http://www.ascensionparish.net/health-unit/
Assumption Parish;us-la-region-3;us-la-assumption;Parish;TRUE;21891;LA;http://ldh.la.gov/index.cfm/directory/detail/4783/catid/338
Avoyelles Parish;us-la-region-6;us-la-avoyelles;Parish;TRUE;40144;LA;http://ldh.la.gov/index.cfm/directory/detail/4638
Beauregard Parish;us-la-region-5;us-la-beauregard;Parish;TRUE;37497;LA;http://ldh.la.gov/index.cfm/directory/detail/4786/catid/338
Bienville Parish;us-la-region-7;us-la-bienville;Parish;TRUE;13241;LA;http://ldh.la.gov/index.cfm/directory/detail/4787
Bossier Parish;us-la-region-7;us-la-bossier;Parish;TRUE;127039;LA;http://ldh.la.gov/index.cfm/directory/detail/4788
Caddo Parish;us-la-region-7;us-la-caddo;Parish;TRUE;240204;LA;http://ldh.la.gov/index.cfm/directory/detail/4789/catid/230
Calcasieu Parish;us-la-region-5;us-la-calcasieu;Parish;TRUE;203436;LA;http://ldh.la.gov/index.cfm/directory/detail/4790
Caldwell Parish;us-la-region-8;us-la-caldwell;Parish;TRUE;9918;LA;http://ldh.la.gov/index.cfm/directory/detail/4792/catid/231
Cameron Parish;us-la-region-5;us-la-cameron;Parish;TRUE;6973;LA;http://ldh.la.gov/index.cfm/directory/detail/7513/catid/228
Catahoula Parish;us-la-region-6;us-la-catahoula;Parish;TRUE;9494;LA;http://ldh.la.gov/index.cfm/directory/detail/7513/catid/228
Claiborne Parish;us-la-region-7;us-la-claiborne;Parish;TRUE;15670;LA;http://ldh.la.gov/index.cfm/directory/detail/4794/catid/230
Concordia Parish;us-la-region-6;us-la-concordia;Parish;TRUE;19259;LA;http://ldh.la.gov/index.cfm/directory/detail/4856
De Soto Parish;us-la-region-7;us-la-de-soto;Parish;TRUE;27463;LA;http://ldh.la.gov/index.cfm/directory/detail/4796/catid/230
East Baton Rouge Parish;us-la-region-2;us-la-east-baton-rouge;Parish;TRUE;440059;LA;http://ldh.la.gov/index.cfm/directory/detail/4797/catid/225
East Carroll Parish;us-la-region-8;us-la-east-carroll;Parish;TRUE;6861;LA;http://ldh.la.gov/index.cfm/directory/detail/4798/catid/231
East Feliciana Parish;us-la-region-2;us-la-east-feliciana;Parish;TRUE;19135;LA;http://ldh.la.gov/index.cfm/directory/detail/4854/catid/225
Evangeline Parish;us-la-region-4;us-la-evangeline;Parish;TRUE;33395;LA;http://ldh.la.gov/index.cfm/directory/detail/4800/catid/227
Franklin Parish;us-la-region-8;us-la-franklin;Parish;TRUE;20015;LA;http://ldh.la.gov/index.cfm/directory/detail/4801/catid/231
Grant Parish;us-la-region-6;us-la-grant;Parish;TRUE;22389;LA;http://ldh.la.gov/index.cfm/directory/detail/4802
Iberville Parish;us-la-region-2;us-la-iberville;Parish;TRUE;32511;LA;http://ldh.la.gov/index.cfm/directory/detail/4804/catid/225
Jackson Parish;us-la-region-8;us-la-jackson;Parish;TRUE;15744;LA;http://ldh.la.gov/index.cfm/directory/detail/4805/catid/231
Jefferson Parish;us-la-region-1;us-la-jefferson;Parish;TRUE;432493;LA;http://ldh.la.gov/index.cfm/directory/detail/4643
Jefferson Davis Parish;us-la-region-5;us-la-jefferson-davis;Parish;TRUE;31368;LA;http://ldh.la.gov/index.cfm/directory/detail/4806
Lafayette Parish;us-la-region-4;us-la-lafayette;Parish;TRUE;244390;LA;http://ldh.la.gov/index.cfm/directory/detail/4807/catid/227
Lafourche Parish;us-la-region-3;us-la-lafourche;Parish;TRUE;97614;LA;http://ldh.la.gov/index.cfm/directory/detail/4809
LaSalle Parish;us-la-region-6;us-la-lasalle;Parish;TRUE;14892;LA;http://ldh.la.gov/index.cfm/directory/detail/4810/catid/229
Lincoln Parish;us-la-region-8;us-la-lincoln;Parish;TRUE;46742;LA;http://ldh.la.gov/index.cfm/directory/detail/4811/catid/231
Livingston Parish;us-la-region-9;us-la-livingston;Parish;TRUE;140789;LA;http://ldh.la.gov/index.cfm/directory/detail/4812
Madison Parish;us-la-region-8;us-la-madison;Parish;TRUE;10951;LA;http://ldh.la.gov/index.cfm/directory/detail/8411
Morehouse Parish;us-la-region-8;us-la-morehouse;Parish;TRUE;24874;LA;http://ldh.la.gov/index.cfm/directory/detail/4816
Natchitoches Parish;us-la-region-7;us-la-natchitoches;Parish;TRUE;38158;LA;http://ldh.la.gov/index.cfm/directory/detail/8430
Plaquemines Parish;us-la-region-1;us-la-plaquemines;Parish;TRUE;23197;LA;https://www.plaqueminesparish.com/427/Health
Pointe Coupee Parish;us-la-region-2;us-la-pointe-coupee;Parish;TRUE;21730;LA;http://ldh.la.gov/index.cfm/directory/detail/4819
Rapides Parish;us-la-region-6;us-la-rapides;Parish;TRUE;129648;LA;http://ldh.la.gov/index.cfm/directory/detail/4658
Red River Parish;us-la-region-7;us-la-red-river;Parish;TRUE;8442;LA;http://ldh.la.gov/index.cfm/directory/detail/4821
Richland Parish;us-la-region-8;us-la-richland;Parish;TRUE;20122;LA;http://ldh.la.gov/index.cfm/directory/detail/4822
Sabine Parish;us-la-region-7;us-la-sabine;Parish;TRUE;23884;LA;http://ldh.la.gov/index.cfm/directory/detail/4823
St. Bernard Parish;us-la-region-1;us-la-st-bernard;Parish;TRUE;47244;LA;https://www.wicoffices.com/office/st-bernard-parish-health-unit/
St. Charles Parish;us-la-region-3;us-la-st-charles;Parish;TRUE;53100;LA;https://accesshealthla.org/location/st-charles-luling/
St. Helena Parish;us-la-region-9;us-la-st-helena;Parish;TRUE;10132;LA;http://www.sthelenaparish.la.gov/HealthUnit.aspx
St. James Parish;us-la-region-3;us-la-st-james;Parish;TRUE;21096;LA;http://ldh.la.gov/index.cfm/directory/detail/4825
St. John the Baptist Parish;us-la-region-3;us-la-sjb;Parish;TRUE;42837;LA;http://www.ldh.la.gov/index.cfm/directory/detail/4893/catid/192
St. Landry Parish;us-la-region-4;us-la-st-landry;Parish;TRUE;82124;LA;http://www.ldh.la.gov/index.cfm/directory/detail/8704/catid/338
St. Martin Parish;us-la-region-4;us-la-st-martin;Parish;TRUE;53431;LA;https://www.stmartinparish.net/health-units/
St. Mary Parish;us-la-region-4;us-la-st-mary;Parish;TRUE;49348;LA;http://ldh.la.gov/index.cfm/directory/detail/4828
St. Tammany Parish;us-la-region-9;us-la-st-tammany;Parish;TRUE;260419;LA;http://www.ldh.la.gov/index.cfm/directory/detail/7070/catid/192
Tangipahoa Parish;us-la-region-9;us-la-tangipahoa;Parish;TRUE;134758;LA;http://ldh.la.gov/index.cfm/directory/detail/4831
