name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Oak Bluffs;us-ma;us-ma-oak-bluffs;Town;TRUE;5327;MA;https://www.oakbluffsma.gov/168/Board-of-Health
Barnstable County;us-ma;us-ma-barnstable;County;TRUE;212990;MA;
Berkshire County;us-ma;us-ma-berkshire;County;TRUE;124944;MA;
Bristol County;us-ma;us-ma-bristol;County;TRUE;565217;MA;
Dukes County;us-ma;us-ma-dukes;County;TRUE;17332;MA;
Essex County;us-ma;us-ma-essex;County;TRUE;789034;MA;
Franklin County;us-ma;us-ma-franklin;County;TRUE;70180;MA;
Hampden County;us-ma;us-ma-hampden;County;TRUE;466372;MA;
Hampshire County;us-ma;us-ma-hampshire;County;TRUE;160830;MA;
Middlesex County;us-ma;us-ma-middlesex;County;TRUE;1611699;MA;
Nantucket County;us-ma;us-ma-nantucket;County;TRUE;11399;MA;
Norfolk County;us-ma;us-ma-norfolk;County;TRUE;706775;MA;
Plymouth County;us-ma;us-ma-plymouth;County;TRUE;521202;MA;
Suffolk County;us-ma;us-ma-suffolk;County;TRUE;803907;MA;
Worcester County;us-ma;us-ma-worcester;County;TRUE;830622;MA;
Abington;us-ma;us-ma-abington;Town;TRUE;17003;MA;
Adams;us-ma;us-ma-adams;Town;TRUE;8149;MA;
Agawam;us-ma;us-ma-agawam;Town;TRUE;28606;MA;
Amherst;us-ma;us-ma-amherst;Town;TRUE;;MA;http://www.amherstma.gov/65
Andover;us-ma;us-ma-andover;Town;TRUE;36389;MA;https://andoverma.gov/162/Health
Arlington;us-ma;us-ma-arlington;Town;TRUE;45906;MA;
Athol;us-ma;us-ma-athol;Town;TRUE;11921;MA;
Attleboro;us-ma;us-ma-attleboro;City;TRUE;46384;MA;http://www.ci.attleboro.ma.us
Ayer;us-ma-nashoba;us-ma-ayer;Town;TRUE;8408;MA;https://www.ayer.ma.us/board-health
Barnstable;us-ma;us-ma-barnstable-city;Town;TRUE;48922;MA;
Barre;us-ma;us-ma-barre;Town;TRUE;5531;MA;https://www.townofbarre.com/health
Belchertown;us-ma-quabbin;us-ma-belchertown;Town;TRUE;15304;MA;http://www.belchertown.org
Bellingham;us-ma;us-ma-bellingham;Town;TRUE;17025;MA;
Belmont;us-ma;us-ma-belmont;Town;TRUE;26997;MA;
Beverly;us-ma;us-ma-beverly;City;TRUE;42414;MA;
Blandford;us-ma;us-ma-blandford;Town;TRUE;1052;MA;https://townofblandford.com/boards-committees/board-of-health/
Boston;us-ma;us-ma-boston;City;TRUE;665945;MA;http://www.bphc.org
Bourne;us-ma;us-ma-bourne;Town;TRUE;20455;MA;https://www.townofbourne.com/health
Boxford;us-ma;us-ma-boxford;Town;TRUE;8168;MA;
Braintree;us-ma;us-ma-braintree;Town;TRUE;38748;MA;
Brewster;us-ma;us-ma-brewster;Town;TRUE;10341;MA;
Bridgewater;us-ma;us-ma-bridgewater;Town;TRUE;28531;MA;
Brockton;us-ma;us-ma-brockton;City;TRUE;104713;MA;
Brookfield;us-ma;us-ma-brookfield;Town;TRUE;3443;MA;http://www.brookfieldma.us
Brookline;us-ma;us-ma-brookline;Town;TRUE;62698;MA;http://www.brooklinema.gov
Burlington;us-ma;us-ma-burlington;Town;TRUE;26169;MA;
Cambridge;us-ma;us-ma-cambridge;City;TRUE;117962;MA;http://www.cambridgepublichealth.org
Chatham;us-ma;us-ma-chatham;Town;TRUE;6607;MA;
Chelsea;us-ma;us-ma-chelsea;City;TRUE;39890;MA;http://www.chelseama.gov
Cheshire;us-ma;us-ma-cheshire;Town;TRUE;3239;MA;
Chester;us-ma;us-ma-chester;Town;TRUE;1403;MA;
Chicopee;us-ma;us-ma-chicopee;City;TRUE;55441;MA;https://www.chicopeema.gov/261/Health-Department
Clinton;us-ma;us-ma-clinton;Town;TRUE;15347;MA;
Danvers;us-ma;us-ma-danvers;Town;TRUE;27910;MA;https://ma-reading.civicplus.com/207/Public-Health-Department
Dedham;us-ma;us-ma-dedham;Town;TRUE;25150;MA;http://www.dedham-ma.gov/index.cfm?pid=11783
Deerfield;us-ma;us-ma-deerfield;Town;TRUE;5125;MA;
Dennis;us-ma;us-ma-dennis;Town;TRUE;14742;MA;http://www.town.dennis.ma.us
Devens;us-ma-nashoba;us-ma-devens;City;;1763;MA;
Dover;us-ma;us-ma-dover;Town;TRUE;5886;MA;https://www.doverma.gov/171/Board-of-Health
Duxbury;us-ma;us-ma-duxbury;Town;TRUE;16041;MA;http://www.town.duxbury.ma.us
East Brookfield;us-ma;us-ma-east-brookfield;Town;TRUE;2120;MA;
Edgartown;us-ma;us-ma-edgartown;Town;TRUE;5159;MA;
Essex;us-ma;us-ma-essex-town;Town;TRUE;3674;MA;http://www.essexma.org
Everett;us-ma;us-ma-everett;City;TRUE;48685;MA;http://www.ci.everett.ma.us
Fall River;us-ma;us-ma-fall-river;City;TRUE;93638;MA;http://www.fallriverma.org/health/health_main.asp
Falmouth;us-ma;us-ma-falmouth;Town;TRUE;32694;MA;
Fitchburg;us-ma;us-ma-fitchburg;City;TRUE;41621;MA;http://ci.fitchburg.ma.us
Foxborough;us-ma;us-ma-foxborough;Town;TRUE;18476;MA;
Framingham;us-ma;us-ma-framingham;City;TRUE;71805;MA;http://www.framinghamma.gov
Franklin;us-ma;us-ma-franklin-town;Town;;;MA;http://franklinma.virtualtownhall.net/Pages/FranklinMA_Health/index
Gardner;us-ma;us-ma-gardner;City;TRUE;21090;MA;
Gloucester;us-ma;us-ma-gloucester;City;TRUE;29830;MA;http://www.gloucester-ma.gov
Granby;us-ma;us-ma-granby;Town;TRUE;6096;MA;
Great Barrington;us-ma;us-ma-great-barrington;Town;TRUE;7184;MA;http://www.townofgb.org/Pages/GBarringtonMA_Health/index
Greenfield;us-ma;us-ma-greenfield;City;TRUE;;MA;http://www.greenfield-ma.gov
Groton;us-ma-nashoba;us-ma-groton;Town;TRUE;11254;MA;http://townofgroton.org
Hanson;us-ma;us-ma-hanson;Town;TRUE;10619;MA;
Hatfield;us-ma;us-ma-hatfield;Town;TRUE;3328;MA;http://www.townofhatfield.org
Haverhill;us-ma;us-ma-haverhill;City;TRUE;67273;MA;http://www.ci.haverhill.ma.us
Hingham;us-ma;us-ma-hingham;Town;TRUE;24143;MA;http://www.hingham-ma.gov/health/index.html
Holbrook;us-ma;us-ma-holbrook;Town;TRUE;11338;MA;
Holland;us-ma;us-ma-holland;Town;TRUE;2585;MA;
Holyoke;us-ma;us-ma-holyoke;City;TRUE;38210;MA;http://www.holyoke.org
Hopedale;us-ma;us-ma-hopedale;Town;TRUE;6021;MA;
Hopkinton;us-ma;us-ma-hopkinton;Town;TRUE;18748;MA;
Hudson;us-ma;us-ma-hudson;Town;TRUE;19947;MA;http://hudsonhealthdept.org
Hull;us-ma;us-ma-hull;Town;TRUE;10116;MA;http://town.hull.ma.us
Huntington;us-ma;us-ma-huntington;Town;TRUE;2328;MA;
Ipswich;us-ma;us-ma-ipswich;Town;TRUE;13791;MA;http://ipswichma.gov
Kingston;us-ma;us-ma-kingston;Town;TRUE;13702;MA;https://www.kingstonmass.org/health
Lawrence;us-ma;us-ma-lawrence;City;TRUE;88067;MA;
Lee;us-ma-tri-town;us-ma-lee;Town;;5765;MA;
Lenox;us-ma-tri-town;us-ma-lenox;Town;TRUE;5083;MA;
Leominster;us-ma;us-ma-leominster;City;TRUE;43620;MA;https://www.leominster-ma.gov/depts/safety/health/default.asp
Lexington;us-ma;us-ma-lexington;Town;TRUE;34221;MA;https://www.lexingtonma.gov/public-health
Longmeadow;us-ma;us-ma-longmeadow;Town;TRUE;15789;MA;
Lowell;us-ma;us-ma-lowell;City;TRUE;114737;MA;https://www.lowellma.gov/275/Health
Lunenburg;us-ma-nashoba;us-ma-lunenburg;Town;TRUE;11735;MA;
Lynn;us-ma;us-ma-lynn;City;TRUE;100653;MA;
Lynnfield;us-ma;us-ma-lynnfield;Town;TRUE;12925;MA;
Malden;us-ma;us-ma-malden;City;TRUE;65463;MA;
Marblehead;us-ma;us-ma-marblehead;Town;TRUE;20350;MA;
Marlborough;us-ma;us-ma-marlborough;City;TRUE;41391;MA;
Marshfield;us-ma;us-ma-marshfield;Town;TRUE;25782;MA;
Maynard;us-ma;us-ma-maynard;Town;TRUE;10671;MA;
Medfield;us-ma;us-ma-medfield;Town;TRUE;12844;MA;https://www.town.medfield.net/269/Board-of-Health
Medford;us-ma;us-ma-medford;City;TRUE;61748;MA;
Melrose;us-ma;us-ma-melrose;City;TRUE;29477;MA;
Milford;us-ma;us-ma-milford;Town;TRUE;30202;MA;
Milton;us-ma;us-ma-milton;Town;TRUE;28450;MA;
Nahant;us-ma;us-ma-nahant;Town;TRUE;3336;MA;https://nahant.org/publichealth/
Nantucket;us-ma;us-ma-nantucket-town;Town;TRUE;14065;MA;http://www.nantucket-ma.gov
Needham;us-ma;us-ma-needham;Town;TRUE;31957;MA;http://www.needhamma.gov/publichealth
New Bedford;us-ma;us-ma-new-bedford;City;TRUE;100620;MA;http://www.ci.new-bedford.ma.us
Newburyport;us-ma;us-ma-newburyport;City;TRUE;18356;MA;http://www.cityofnewburyport.com
Newton;us-ma;us-ma-newton;City;TRUE;88453;MA;https://www.newtonma.gov/government/health-human-services/public-health
North Adams;us-ma;us-ma-north-adams;City;TRUE;12937;MA;http://www.northadams-ma.gov
Northampton;us-ma;us-ma-northampton;City;TRUE;28245;MA;http://www.northamptonma.gov/245/Health
North Attleborough;us-ma;us-ma-north-attleborough;Town;TRUE;;MA;
Northborough;us-ma;us-ma-northborough;Town;TRUE;15647;MA;http://www.town.northborough.ma.us/Pages/NorthboroughMA_BOH/index
North Brookfield;us-ma;us-ma-north-brookfield;Town;TRUE;4750;MA;
Norwood;us-ma;us-ma-norwood;Town;TRUE;31343;MA;http://www.norwoodma.gov/departments/health/index.php
Orange;us-ma;us-ma-orange;Town;TRUE;7584;MA;
Orleans;us-ma;us-ma-orleans;Town;TRUE;6322;MA;http://www.town.orleans.ma.us
Oxford;us-ma;us-ma-oxford-town;Town;TRUE;13369;MA;http://www.town.oxford.ma.us
Palmer;us-ma;us-ma-palmer;Town;TRUE;12422;MA;http://www.townofpalmer.com/Pages/PalmerMA_Health/index
Peabody;us-ma;us-ma-peabody;City;TRUE;54204;MA;
Pepperell;us-ma-nashoba;us-ma-pepperell;Town;TRUE;11625;MA;http://town.pepperell.ma.us
Petersham;us-ma;us-ma-petersham;Town;TRUE;1177;MA;
Pittsfield;us-ma;us-ma-pittsfield;City;TRUE;43730;MA;
Plymouth;us-ma;us-ma-plymouth-town;Town;TRUE;61628;MA;http://www.plymouth-ma.gov
Provincetown;us-ma;us-ma-provincetown;Town;TRUE;3630;MA;http://www.provincetowngov.org
Quincy;us-ma;us-ma-quincy;City;TRUE;100981;MA;http://www.quincyma.gov
Randolph;us-ma;us-ma-randolph;Town;TRUE;34691;MA;
Reading;us-ma;us-ma-reading;Town;TRUE;25415;MA;http://www.readingma.gov/public-health-services
Revere;us-ma;us-ma-revere;City;TRUE;60577;MA;
Rockport;us-ma;us-ma-rockport;Town;TRUE;6973;MA;
Rowley;us-ma;us-ma-rowley;Town;TRUE;6175;MA;http://www.town.rowley.ma.us
Russell;us-ma;us-ma-russell;Town;TRUE;1339;MA;http://www.townofrussell.us/
Rutland;us-ma;us-ma-rutland;Town;TRUE;9102;MA;
Salem;us-ma;us-ma-salem;City;TRUE;44541;MA;
Salisbury;us-ma;us-ma-salisbury;Town;TRUE;9182;MA;
Sandwich;us-ma;us-ma-sandwich;Town;TRUE;20419;MA;
Saugus;us-ma;us-ma-saugus;Town;TRUE;28566;MA;
Scituate;us-ma;us-ma-scituate;Town;TRUE;19069;MA;
Sharon;us-ma;us-ma-sharon;Town;TRUE;18473;MA;https://www.townofsharon.net/health-department
Shirley;us-ma-nashoba;us-ma-shirley;Town;TRUE;7092;MA;http://www.shirley-ma.gov
Somerset;us-ma;us-ma-somerset;Town;TRUE;18266;MA;http://www.somersetmass.com
Somerville;us-ma;us-ma-somerville;City;TRUE;80464;MA;http://www.somervillema.gov/departments/health
Southbridge;us-ma;us-ma-southbridge;Town;TRUE;17669;MA;http://www.ci.southbridge.ma.us/BoardHealth.html
Spencer;us-ma;us-ma-spencer;Town;TRUE;11955;MA;
Springfield;us-ma;us-ma-springfield;City;TRUE;155305;MA;https://www.springfield-ma.gov/hhs/
Stoneham;us-ma;us-ma-stoneham;Town;TRUE;22992;MA;
Sturbridge;us-ma;us-ma-sturbridge;Town;TRUE;9842;MA;https://www.sturbridge.gov/board-health
Swampscott;us-ma;us-ma-swampscott;Town;TRUE;15125;MA;
Taunton;us-ma;us-ma-taunton;City;TRUE;59436;MA;
Topsfield;us-ma;us-ma-topsfield;Town;TRUE;6532;MA;https://www.topsfield-ma.gov/health-department
Townsend;us-ma-nashoba;us-ma-townsend;Town;TRUE;9070;MA;https://www.townsendma.gov/board-health
Upton;us-ma;us-ma-upton;Town;TRUE;8037;MA;https://www.uptonma.gov/board-health
Wakefield;us-ma;us-ma-wakefield;Town;TRUE;27054;MA;
Walpole;us-ma;us-ma-walpole;Town;TRUE;26317;MA;http://www.walpole-ma.gov
Waltham;us-ma;us-ma-waltham;City;TRUE;64711;MA;
Ware;us-ma-quabbin;us-ma-ware;Town;;10162;MA;
Warren;us-ma;us-ma-warren;Town;TRUE;4985;MA;
Webster;us-ma;us-ma-webster;Town;TRUE;17671;MA;
Wellesley;us-ma;us-ma-wellesley;Town;TRUE;29862;MA;http://www.wellesleyma.gov
Westborough;us-ma;us-ma-westborough;Town;TRUE;21360;MA;http://www.gis.net/~westboh
West Brookfield;us-ma;us-ma-west-brookfield;Town;TRUE;3823;MA;
Westfield;us-ma;us-ma-westfield;City;TRUE;40794;MA;https://www.cityofwestfield.org/166/Health
West Springfield;us-ma;us-ma-west-springfield;Town;TRUE;28755;MA;http://www.west-springfield.ma.us
