name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Adair County;us-mo;us-mo-adair;County;TRUE;25343;MO;
Andrew County;us-mo;us-mo-andrew;County;TRUE;17712;MO;
Atchison County;us-mo;us-mo-atchison;County;TRUE;5143;MO;
Audrain County;us-mo;us-mo-audrain;County;TRUE;25388;MO;
Barry County;us-mo;us-mo-barry;County;TRUE;35789;MO;
Barton County;us-mo;us-mo-barton;County;TRUE;11754;MO;
Bates County;us-mo;us-mo-bates;County;TRUE;16172;MO;
Benton County;us-mo;us-mo-benton;County;TRUE;19443;MO;
Bollinger County;us-mo;us-mo-bollinger;County;TRUE;12133;MO;
Boone County;us-mo;us-mo-boone;County;TRUE;180463;MO;
Buchanan County;us-mo;us-mo-buchanan;County;TRUE;87364;MO;
Butler County;us-mo;us-mo-butler;County;TRUE;42478;MO;
Caldwell County;us-mo;us-mo-caldwell;County;TRUE;9020;MO;
Callaway County;us-mo;us-mo-callaway;County;TRUE;44743;MO;
Camden County;us-mo;us-mo-camden;County;TRUE;46305;MO;
Cape Girardeau County;us-mo;us-mo-cape-girardeau;County;TRUE;78871;MO;
Carroll County;us-mo;us-mo-carroll;County;TRUE;8679;MO;
Carter County;us-mo;us-mo-carter;County;TRUE;5982;MO;
Cass County;us-mo;us-mo-cass;County;TRUE;105780;MO;
Cedar County;us-mo;us-mo-cedar;County;TRUE;14349;MO;
Chariton County;us-mo;us-mo-chariton;County;TRUE;7426;MO;
Christian County;us-mo;us-mo-christian;County;TRUE;88595;MO;
Clark County;us-mo;us-mo-clark;County;TRUE;6797;MO;
Clay County;us-mo-tri-county;us-mo-clay;County;TRUE;249948;MO;
Clinton County;us-mo;us-mo-clinton;County;TRUE;20387;MO;
Cole County;us-mo;us-mo-cole;County;TRUE;76745;MO;
Cooper County;us-mo;us-mo-cooper;County;TRUE;17709;MO;
Crawford County;us-mo;us-mo-crawford;County;TRUE;23920;MO;
Dade County;us-mo;us-mo-dade;County;TRUE;7561;MO;
