name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Alcorn County;us-ms-nphr;us-ms-alcorn;County;TRUE;36953;MS;
Amite County;us-ms-sphr;us-ms-amite;County;TRUE;12297;MS;
Attala County;us-ms-central;us-ms-attala;County;TRUE;18174;MS;
Bolivar County;us-ms-delta;us-ms-bolivar;County;TRUE;30628;MS;
Chickasaw County;us-ms-nphr;us-ms-chickasaw;County;TRUE;17103;MS;
Claiborne County;us-ms-central;us-ms-claiborne;County;TRUE;8988;MS;
Coahoma County;us-ms-delta;us-ms-coahoma;County;TRUE;22124;MS;
Copiah County;us-ms-central;us-ms-copiah;County;TRUE;28065;MS;
Covington County;us-ms-sphr;us-ms-covington;County;TRUE;18636;MS;
Forrest County;us-ms-sphr;us-ms-forrest;County;TRUE;74897;MS;
George County;us-ms-sphr;us-ms-george;County;TRUE;24500;MS;
Grenada County;us-ms-nphr;us-ms-grenada;County;TRUE;20758;MS;
Hinds County;us-ms-central;us-ms-hinds;County;TRUE;231840;MS;
Humphreys County;us-ms-delta;us-ms-humphreys;County;TRUE;8064;MS;
Issaquena County;us-ms-delta;us-ms-issaquena;County;TRUE;1327;MS;
Itawamba County;us-ms-nphr;us-ms-itawamba;County;TRUE;23390;MS;
Jefferson Davis County;us-ms-sphr;us-ms-jefferson-davis;County;TRUE;11128;MS;
Kemper County;us-ms-central;us-ms-kemper;County;TRUE;9742;MS;
Leake County;us-ms-central;us-ms-leake;County;TRUE;22786;MS;
Leflore County;us-ms-delta;us-ms-leflore;County;TRUE;28183;MS;
Neshoba County;us-ms-central;us-ms-neshoba;County;TRUE;29118;MS;
Noxubee County;us-ms-nphr;us-ms-noxubee;County;TRUE;10417;MS;
Oktibbeha County;us-ms-nphr;us-ms-oktibbeha;County;TRUE;49587;MS;
Panola County;us-ms-nphr;us-ms-panola;County;TRUE;34192;MS;
Pearl River County;us-ms-sphr;us-ms-pearl-river;County;TRUE;55535;MS;
Pontotoc County;us-ms-nphr;us-ms-pontotoc;County;TRUE;32174;MS;
Prentiss County;us-ms-nphr;us-ms-prentiss;County;TRUE;25126;MS;
Rankin County;us-ms-central;us-ms-rankin;County;TRUE;155271;MS;
Sunflower County;us-ms-delta;us-ms-sunflower;County;TRUE;25110;MS;
Tallahatchie County;us-ms-delta;us-ms-tallahatchie;County;TRUE;13809;MS;
Tate County;us-ms-nphr;us-ms-tate;County;TRUE;28321;MS;
Tippah County;us-ms-nphr;us-ms-tippah;County;TRUE;22015;MS;
Tunica County;us-ms-delta;us-ms-tunica;County;TRUE;9632;MS;
Walthall County;us-ms-sphr;us-ms-walthall;County;TRUE;14286;MS;
Yalobusha County;us-ms-nphr;us-ms-yalobusha;County;TRUE;12108;MS;
Yazoo County;us-ms-delta;us-ms-yazoo;County;TRUE;29690;MS;
Central Public Health Region;us-ms;us-ms-central;Group;TRUE;853402;MS;
Northern Public Health Region;us-ms;us-ms-nphr;Group;TRUE;911395;MS;
Southern Public Health Region;us-ms;us-ms-sphr;Group;TRUE;970753;MS;
Tishomingo County;us-ms-nphr;us-ms-tishomingo;County;TRUE;19383;MS;http://www.healthyms.com
Adams County;us-ms-sphr;us-ms-adams;County;TRUE;30693;MS;
Benton County;us-ms-nphr;us-ms-benton;County;TRUE;8259;MS;
Calhoun County;us-ms-nphr;us-ms-calhoun;County;TRUE;14361;MS;
Carroll County;us-ms-nphr;us-ms-carroll;County;TRUE;9947;MS;
Choctaw County;us-ms-nphr;us-ms-choctaw;County;TRUE;8210;MS;
Clarke County;us-ms-central;us-ms-clarke;County;TRUE;15541;MS;
Clay County;us-ms-nphr;us-ms-clay;County;TRUE;19316;MS;
DeSoto County;us-ms-nphr;us-ms-desoto;County;TRUE;184945;MS;
Franklin County;us-ms-sphr;us-ms-franklin;County;TRUE;7713;MS;
Greene County;us-ms-sphr;us-ms-greene;County;TRUE;13586;MS;
Hancock County;us-ms-sphr;us-ms-hancock;County;TRUE;47632;MS;
Harrison County;us-ms-sphr;us-ms-harrison;County;TRUE;208080;MS;
Holmes County;us-ms-delta;us-ms-holmes;County;TRUE;17010;MS;
Jackson County;us-ms-sphr;us-ms-jackson;County;TRUE;143617;MS;
Jasper County;us-ms-central;us-ms-jasper;County;TRUE;16383;MS;
Jefferson County;us-ms-sphr;us-ms-jefferson;County;TRUE;6990;MS;
Jones County;us-ms-sphr;us-ms-jones;County;TRUE;68098;MS;
Lafayette County;us-ms-nphr;us-ms-lafayette;County;TRUE;54019;MS;
Lamar County;us-ms-sphr;us-ms-lamar;County;TRUE;63343;MS;
Lauderdale County;us-ms-central;us-ms-lauderdale;County;TRUE;74125;MS;
Lawrence County;us-ms-sphr;us-ms-lawrence;County;TRUE;12586;MS;
Lee County;us-ms-nphr;us-ms-lee;County;TRUE;85436;MS;
Lincoln County;us-ms-sphr;us-ms-lincoln;County;TRUE;34153;MS;
Lowndes County;us-ms-nphr;us-ms-lowndes;County;TRUE;58595;MS;
Madison County;us-ms-central;us-ms-madison;County;TRUE;106272;MS;
Marion County;us-ms-sphr;us-ms-marion;County;TRUE;24573;MS;
Marshall County;us-ms-nphr;us-ms-marshall;County;TRUE;35294;MS;
Monroe County;us-ms-nphr;us-ms-monroe;County;TRUE;35252;MS;
Montgomery County;us-ms-nphr;us-ms-montgomery;County;TRUE;9775;MS;
Newton County;us-ms-central;us-ms-newton;County;TRUE;21018;MS;
Perry County;us-ms-sphr;us-ms-perry;County;TRUE;11973;MS;
Pike County;us-ms-sphr;us-ms-pike;County;TRUE;39288;MS;
Quitman County;us-ms-delta;us-ms-quitman;County;TRUE;6792;MS;
Scott County;us-ms-central;us-ms-scott;County;TRUE;28124;MS;
Sharkey County;us-ms-delta;us-ms-sharkey;County;TRUE;4321;MS;
Simpson County;us-ms-central;us-ms-simpson;County;TRUE;26658;MS;
Smith County;us-ms-central;us-ms-smith;County;TRUE;15916;MS;
Stone County;us-ms-sphr;us-ms-stone;County;TRUE;18336;MS;
Union County;us-ms-nphr;us-ms-union;County;TRUE;28815;MS;
Warren County;us-ms-central;us-ms-warren;County;TRUE;45381;MS;
Washington County;us-ms-delta;us-ms-washington;County;TRUE;43909;MS;
Wayne County;us-ms-sphr;us-ms-wayne;County;TRUE;20183;MS;
Webster County;us-ms-nphr;us-ms-webster;County;TRUE;9689;MS;
Wilkinson County;us-ms-sphr;us-ms-wilkinson;County;TRUE;8630;MS;
Winston County;us-ms-nphr;us-ms-winston;County;TRUE;17955;MS;
Mississippi;us;us-ms;State;TRUE;2976149;MS;
All Mississippi;;us-ms-all;Summary;;;MS;
All Central Public Health Region;;us-ms-central-all;Summary;;;MS;
Delta Public Health Region;us-ms;us-ms-delta;Group;TRUE;240599;MS;
All Delta Public Health Region;;us-ms-delta-all;Summary;;;MS;
All Northern Public Health Region;;us-ms-nphr-all;Summary;;;MS;
All Sharkey/Issaquena County HD;;us-ms-sharkey-issaquena-all;Summary;;;MS;
All Southern Public Health Region;;us-ms-sphr-all;Summary;;;MS;
