name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Beaverhead County;us-mt;us-mt-beaverhead;County;TRUE;9453;MT;
Big Horn County;us-mt;us-mt-big-horn;County;TRUE;13319;MT;
Blaine County;us-mt;us-mt-blaine;County;TRUE;6681;MT;
Broadwater County;us-mt;us-mt-broadwater;County;TRUE;6237;MT;
Carbon County;us-mt;us-mt-carbon;County;TRUE;10725;MT;
Carter County;us-mt;us-mt-carter;County;TRUE;1252;MT;
Cascade County;us-mt;us-mt-cascade;County;TRUE;81366;MT;
Chouteau County;us-mt;us-mt-chouteau;County;TRUE;5635;MT;
Custer County;us-mt;us-mt-custer;County;TRUE;11402;MT;
Daniels County;us-mt;us-mt-daniels;County;TRUE;1690;MT;
Dawson County;us-mt;us-mt-dawson;County;TRUE;8613;MT;
Deer Lodge County;us-mt;us-mt-deer-lodge;County;TRUE;9140;MT;
Fallon County;us-mt;us-mt-fallon;County;TRUE;2846;MT;
Fergus County;us-mt;us-mt-fergus;County;TRUE;11050;MT;
Flathead County;us-mt;us-mt-flathead;County;TRUE;103806;MT;
Gallatin County;us-mt;us-mt-gallatin;County;TRUE;114434;MT;
Garfield County;us-mt;us-mt-garfield;County;TRUE;1258;MT;
Glacier County;us-mt;us-mt-glacier;County;TRUE;13753;MT;
Golden Valley County;us-mt-central;us-mt-golden-valley;County;TRUE;821;MT;
Granite County;us-mt;us-mt-granite;County;TRUE;3379;MT;
Hill County;us-mt;us-mt-hill;County;TRUE;16484;MT;
Jefferson County;us-mt;us-mt-jefferson;County;TRUE;12221;MT;
Judith Basin County;us-mt-central;us-mt-judith-basin;County;TRUE;2007;MT;
Lake County;us-mt;us-mt-lake;County;TRUE;30458;MT;
Lewis and Clark County;us-mt;us-mt-lc;County;TRUE;69432;MT;
Liberty County;us-mt;us-mt-liberty;County;TRUE;2337;MT;
Lincoln County;us-mt;us-mt-lincoln;County;TRUE;19980;MT;
McCone County;us-mt;us-mt-mccone;County;TRUE;1664;MT;
Madison County;us-mt;us-mt-madison;County;TRUE;8600;MT;
Meagher County;us-mt;us-mt-meagher;County;TRUE;1862;MT;
Mineral County;us-mt;us-mt-mineral;County;TRUE;4397;MT;
Missoula County;us-mt;us-mt-missoula;County;TRUE;119600;MT;
Musselshell County;us-mt-central;us-mt-musselshell;County;TRUE;4633;MT;
Park County;us-mt;us-mt-park;County;TRUE;16606;MT;
Petroleum County;us-mt-central;us-mt-petroleum;County;TRUE;487;MT;
Phillips County;us-mt;us-mt-phillips;County;TRUE;3954;MT;
Pondera County;us-mt;us-mt-pondera;County;TRUE;5911;MT;
Powder River County;us-mt;us-mt-powder-river;County;TRUE;1682;MT;
Powell County;us-mt;us-mt-powell;County;TRUE;6890;MT;
Prairie County;us-mt;us-mt-prairie;County;TRUE;1077;MT;
Ravalli County;us-mt;us-mt-ravalli;County;TRUE;43806;MT;
Richland County;us-mt;us-mt-richland;County;TRUE;10803;MT;
Roosevelt County;us-mt;us-mt-roosevelt;County;TRUE;11004;MT;
Rosebud County;us-mt;us-mt-rosebud;County;TRUE;8937;MT;
Sanders County;us-mt;us-mt-sanders;County;TRUE;12113;MT;
Sheridan County;us-mt;us-mt-sheridan;County;TRUE;3309;MT;
Silver Bow County;us-mt;us-mt-silver-bow;County;TRUE;34915;MT;
Stillwater County;us-mt;us-mt-stillwater;County;TRUE;9642;MT;
Sweet Grass County;us-mt;us-mt-sweet-grass;County;TRUE;3737;MT;
Teton County;us-mt;us-mt-teton;County;TRUE;6147;MT;
Toole County;us-mt;us-mt-toole;County;TRUE;4736;MT;
Treasure County;us-mt;us-mt-treasure;County;TRUE;696;MT;
Valley County;us-mt;us-mt-valley;County;TRUE;7396;MT;
Wheatland County;us-mt-central;us-mt-wheatland;County;TRUE;2126;MT;
Wibaux County;us-mt;us-mt-wibaux;County;TRUE;969;MT;
Yellowstone County;us-mt;us-mt-yellowstone;County;TRUE;161300;MT;
Montana;us;us-mt;State;TRUE;1068778;MT;
All Montana;;us-mt-all;Summary;;;MT;
Central Montana HD;us-mt;us-mt-central;Group;TRUE;10074;MT;https://centralmontanahealthdistrict.org/
All Central Montana HD;;us-mt-central-all;Summary;;;MT;
