name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Alamance County;us-nc;us-nc-alamance;County;TRUE;169509;NC;http://www.alamance-nc.com/health
Alexander County;us-nc;us-nc-alexander;County;TRUE;37497;NC;https://alexanderhealth.org/#
Anson County;us-nc;us-nc-anson;County;TRUE;24446;NC;http://www.co.anson.nc.us/health
Beaufort County;us-nc;us-nc-beaufort;County;TRUE;46994;NC;http://www.bchd.net
Bladen County;us-nc;us-nc-bladen;County;TRUE;32722;NC;http://www.bladeninfo.org/departments/health
Brunswick County;us-nc;us-nc-brunswick;County;TRUE;142820;NC;http://www.brunswickcountync.gov
Buncombe County;us-nc;us-nc-buncombe;County;TRUE;261191;NC;http://www.buncombecounty.org/governing/depts/health
Cabarrus County;us-nc;us-nc-cabarrus;County;TRUE;216453;NC;http://www.cabarrushealth.org
Carteret County;us-nc;us-nc-carteret;County;TRUE;69473;NC;https://www.carteretcountync.gov/836/Health-Department
Caswell County;us-nc;us-nc-caswell;County;TRUE;22604;NC;http://cchd.caswellnc.us/index2.html
Catawba County;us-nc;us-nc-catawba;County;TRUE;159551;NC;https://www.catawbacountync.gov/county-services/public-health/
Chatham County;us-nc;us-nc-chatham;County;TRUE;74470;NC;https://www.chathamnc.org/
Cleveland County;us-nc;us-nc-cleveland;County;TRUE;97947;NC;https://www.clevelandcountyhdnc.com
Columbus County;us-nc;us-nc-columbus;County;TRUE;55508;NC;http://www.columbusco.org
Craven County;us-nc;us-nc-craven;County;TRUE;102139;NC;https://www.cravencountync.gov/153/Health
Cumberland County;us-nc;us-nc-cumberland;County;TRUE;335509;NC;http://www.co.cumberland.nc.us/departments/public-health-group/public-health
Dare County;us-nc;us-nc-dare;County;TRUE;37009;NC;http://www.co.dare.nc.us/health
Davidson County;us-nc;us-nc-davidson;County;TRUE;167609;NC;https://www.co.davidson.nc.us/
Davie County;us-nc;us-nc-davie;County;TRUE;42846;NC;http://www.daviecountync.gov
Duplin County;us-nc;us-nc-duplin;County;TRUE;58741;NC;http://www.duplincountync.com
Durham County;us-nc;us-nc-durham;County;TRUE;321488;NC;http://www.dconc.gov/publichealth
Edgecombe County;us-nc;us-nc-edgecombe;County;TRUE;51472;NC;http://edgecombecountync.gov
Forsyth County;us-nc;us-nc-forsyth;County;TRUE;382295;NC;http://www.co.forsyth.nc.us/publichealth
Gaston County;us-nc;us-nc-gaston;County;TRUE;224529;NC;https://www.gastongov.com/government/departments/health_and_human_services/public_health/index.php
Granville County;us-nc;us-nc-granville;County;TRUE;60443;NC;http://www.gvph.org
Guilford County;us-nc;us-nc-guilford;County;TRUE;537174;NC;https://www.guilfordcountync.gov/our-county/human-services/health-department
Halifax County;us-nc;us-nc-halifax;County;TRUE;50010;NC;http://www.halifaxnc.com
Harnett County;us-nc;us-nc-harnett;County;TRUE;135976;NC;https://www.harnett.org
Haywood County;us-nc;us-nc-haywood;County;TRUE;62317;NC;https://www.haywoodcountync.gov/417/Public-Health
Henderson County;us-nc;us-nc-henderson;County;TRUE;117417;NC;http://www.hendersoncountync.org/health
Hoke County;us-nc;us-nc-hoke;County;TRUE;55234;NC;http://www.hokecounty.net
Hyde County;us-nc;us-nc-hyde;County;TRUE;4937;NC;https://www.hydecountync.gov/departments/health_department.php
Iredell County;us-nc;us-nc-iredell;County;TRUE;181806;NC;http://www.co.iredell.nc.us/Departments/Health
Jackson County;us-nc;us-nc-jackson;County;TRUE;43938;NC;http://health.jacksonnc.org
Johnston County;us-nc;us-nc-johnston;County;TRUE;209339;NC;http://www.johnstonnc.com/health
Lenoir County;us-nc;us-nc-lenoir;County;TRUE;55949;NC;https://lenoircountync.gov/health-department/
Macon County;us-nc;us-nc-macon;County;TRUE;35858;NC;http://Maconnc.org
Mecklenburg County;us-nc;us-nc-mecklenburg;County;TRUE;1110356;NC;https://health.mecknc.gov
Moore County;us-nc;us-nc-moore;County;TRUE;100880;NC;http://www.moorecountync.gov/health
Nash County;us-nc;us-nc-nash;County;TRUE;94298;NC;https://nashcountync.gov/227/Health-Department
New Hanover County;us-nc;us-nc-new-hanover;County;TRUE;234473;NC;http://health.nhcgov.com/
Northampton County;us-nc;us-nc-northampton;County;TRUE;19483;NC;http://www.northamptonhd.com
Onslow County;us-nc;us-nc-onslow;County;TRUE;197938;NC;https://www.onslowcountync.gov/
Pamlico County;us-nc;us-nc-pamlico;County;TRUE;12726;NC;https://www.pamlicocounty.org/departments/health_department/index.php
Pender County;us-nc;us-nc-pender;County;TRUE;63060;NC;http://health.pendercountync.gov/
Person County;us-nc;us-nc-person;County;TRUE;39490;NC;http://www.personcounty.net
Pitt County;us-nc;us-nc-pitt;County;TRUE;180742;NC;https://www.pittcountync.gov/229/Public-Health
Robeson County;us-nc;us-nc-robeson;County;TRUE;130625;NC;https://robesoncountyhealthdepartment.com
Rockingham County;us-nc;us-nc-rockingham;County;TRUE;91010;NC;http://www.co.rockingham.nc.us
Rowan County;us-nc;us-nc-rowan;County;TRUE;142088;NC;https://www.rowancountync.gov/256/Health-Department
Sampson County;us-nc;us-nc-sampson;County;TRUE;63531;NC;http://www.sampsonnc.com
Stanly County;us-nc;us-nc-stanly;County;TRUE;62806;NC;https://health.stanlycountync.gov
Stokes County;us-nc;us-nc-stokes;County;TRUE;45591;NC;http://www.co.stokes.nc.us
Surry County;us-nc;us-nc-surry;County;TRUE;71783;NC;http://www.surry.com
Swain County;us-nc;us-nc-swain;County;TRUE;14271;NC;https://www.swaincountync.gov/health-department/
Transylvania County;us-nc;us-nc-transylvania;County;TRUE;34385;NC;http://transylvaniacounty.org/departments/public-health
Wake County;us-nc;us-nc-wake;County;TRUE;1111761;NC;http://www.wakegov.com
Wilson County;us-nc;us-nc-wilson;County;TRUE;81801;NC;https://www.wilsoncountync.gov/departments/health-department
Yadkin County;us-nc;us-nc-yadkin;County;TRUE;37667;NC;https://www.yadkincountync.gov/353/Human-Services
Yancey County;us-nc;us-nc-yancey;County;TRUE;18069;NC;https://sites.google.com/view/yanceycountyhealthdepartment?usp=sharing
Appalachian District HD (AppHealthCare);us-nc;us-nc-apphealthcare;Group;TRUE;94517;NC;https://www.apphealthcare.com/
Albemarle Regional Health Services;us-nc;us-nc-arhs;Group;TRUE;160046;NC;http://www.arhs-nc.org
Foothills District;us-nc;us-nc-foothills;Group;TRUE;112785;NC;http://www.foothillshd.org/
Martin Tyrrell Washington District;us-nc;us-nc-mtw;Group;TRUE;38036;NC;https://mtwdistricthealth.org/
Toe River District;us-nc;us-nc-toe-river;Group;TRUE;32521;NC;http://www.toeriverhealth.org
Alleghany County;us-nc-apphealthcare;us-nc-alleghany;County;TRUE;11137;NC;
Ashe County;us-nc-apphealthcare;us-nc-ashe;County;TRUE;27203;NC;
Avery County;us-nc-toe-river;us-nc-avery;County;TRUE;17557;NC;
Bertie County;us-nc-arhs;us-nc-bertie;County;TRUE;18947;NC;
Burke County;us-nc;us-nc-burke;County;TRUE;90485;NC;
Caldwell County;us-nc;us-nc-caldwell;County;TRUE;82178;NC;
Camden County;us-nc-arhs;us-nc-camden;County;TRUE;10867;NC;
Cherokee County;us-nc;us-nc-cherokee;County;TRUE;28612;NC;
Chowan County;us-nc-arhs;us-nc-chowan;County;TRUE;13943;NC;
Clay County;us-nc;us-nc-clay;County;TRUE;11231;NC;
Currituck County;us-nc-arhs;us-nc-currituck;County;TRUE;27763;NC;
Franklin County;us-nc;us-nc-franklin;County;TRUE;69685;NC;
Gates County;us-nc-arhs;us-nc-gates;County;TRUE;11562;NC;
Graham County;us-nc;us-nc-graham;County;TRUE;8441;NC;
Greene County;us-nc;us-nc-greene;County;TRUE;21069;NC;
Hertford County;us-nc-arhs;us-nc-hertford;County;TRUE;23677;NC;
Jones County;us-nc;us-nc-jones;County;TRUE;9419;NC;
Lee County;us-nc;us-nc-lee;County;TRUE;61779;NC;
Lincoln County;us-nc;us-nc-lincoln;County;TRUE;86111;NC;
McDowell County;us-nc-foothills;us-nc-mcdowell;County;TRUE;45756;NC;
Madison County;us-nc;us-nc-madison;County;TRUE;21755;NC;
Martin County;us-nc-mtw;us-nc-martin;County;TRUE;22440;NC;
Mitchell County;us-nc-toe-river;us-nc-mitchell;County;TRUE;14964;NC;
Montgomery County;us-nc;us-nc-montgomery;County;TRUE;27173;NC;
Orange County;us-nc;us-nc-orange;County;TRUE;148476;NC;
Pasquotank County;us-nc-arhs;us-nc-pasquotank;County;TRUE;39824;NC;
Perquimans County;us-nc-arhs;us-nc-perquimans;County;TRUE;13463;NC;
Polk County;us-nc;us-nc-polk;County;TRUE;20724;NC;
Randolph County;us-nc;us-nc-randolph;County;TRUE;143667;NC;
Richmond County;us-nc;us-nc-richmond;County;TRUE;44829;NC;
Rutherford County;us-nc-foothills;us-nc-rutherford;County;TRUE;67029;NC;
Scotland County;us-nc;us-nc-scotland;County;TRUE;34823;NC;
Tyrrell County;us-nc-mtw;us-nc-tyrrell;County;TRUE;4016;NC;
Union County;us-nc;us-nc-union;County;TRUE;239859;NC;
Vance County;us-nc;us-nc-vance;County;TRUE;44535;NC;
Warren County;us-nc;us-nc-warren;County;TRUE;19731;NC;
Washington County;us-nc-mtw;us-nc-washington;County;TRUE;11580;NC;
Watauga County;us-nc-apphealthcare;us-nc-watauga;County;TRUE;56177;NC;
Wayne County;us-nc;us-nc-wayne;County;TRUE;123131;NC;
Wilkes County;us-nc;us-nc-wilkes;County;TRUE;68412;NC;
North Carolina;us;us-nc;State;TRUE;10488084;NC;
All North Carolina;;us-nc-all;Summary;;;NC;
All Appalachian District HD (AppHealthCare);;us-nc-apphealthcare-all;Summary;;;NC;
All Albemarle Regional Health Services;;us-nc-arhs-all;Summary;;;NC;
All Foothills District;;us-nc-foothills-all;Summary;;;NC;
All Martin Tyrrell Washington District;;us-nc-mtw-all;Summary;;;NC;
All Toe River District;;us-nc-toe-river-all;Summary;;;NC;
