name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Towner County;us-nd;us-nd-towner;County;TRUE;2189;ND;
Cass County;us-nd;us-nd-cass;County;TRUE;181923;ND;https://fargond.gov/city-government/departments/fargo-cass-public-health
Cavalier County;us-nd;us-nd-cavalier;County;TRUE;3762;ND;http://www.cavaliercountyhealth.com
Dickey County;us-nd;us-nd-dickey;County;TRUE;4872;ND;https://dickeynd.com
Emmons County;us-nd;us-nd-emmons;County;TRUE;3241;ND;http://www.emmonsnd.com/public-health.html
Foster County;us-nd;us-nd-foster;County;TRUE;3210;ND;https://fostercountypublichealth.com/
Grand Forks County;us-nd;us-nd-grand-forks;County;TRUE;69451;ND;http://www.grandforksgov.com/publichealth
Kidder County;us-nd;us-nd-kidder;County;TRUE;2480;ND;https://www.kiddercountyhealth.com
LaMoure County;us-nd;us-nd-lamoure;County;TRUE;4046;ND;https://lamourecountynd.com/public-health
McIntosh County;us-nd;us-nd-mcintosh;County;TRUE;2497;ND;https://www.breathend.com/publichealthunits/mcintosh-district-health-unit/
Pembina County;us-nd;us-nd-pembina;County;TRUE;6801;ND;http://www.pembinacountynd.gov
Ransom County;us-nd;us-nd-ransom;County;TRUE;5218;ND;http://www.ndhealth.gov/Localhd/RCHD/
Rolette County;us-nd;us-nd-rolette;County;TRUE;14176;ND;http://www.rcphd.com
Sargent County;us-nd;us-nd-sargent;County;TRUE;3898;ND;http://sargentnd.com/dept_district_health_unit.php
Steele County;us-nd;us-nd-steele;County;TRUE;1890;ND;http://www.co.steele.nd.us/health
Traill County;us-nd;us-nd-traill;County;TRUE;8036;ND;http://www.co.traill.nd.us
Walsh County;us-nd;us-nd-walsh;County;TRUE;10641;ND;https://walshcountynd.com/county-government/public-health-and-wic/
Wells County;us-nd;us-nd-wells;County;TRUE;3834;ND;http://www.wellscountynd.com/?id=48&form_data_id=455
Central Valley HD;us-nd;us-nd-central-valley;Group;TRUE;22554;ND;http://centralvalleyhealth.org
First District Health Unit;us-nd;us-nd-fdhu;Group;TRUE;94875;ND;http://www.fdhu.org
Lake Region District Health Unit;us-nd;us-nd-lrdhu;Group;TRUE;24613;ND;http://Lrdhu.com
