name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Bernalillo County;us-nm-nw;us-nm-bernalillo;County;TRUE;679121;NM;
Catron County;us-nm-sw;us-nm-catron;County;TRUE;3527;NM;
Chaves County;us-nm-se;us-nm-chaves;County;TRUE;64615;NM;
Cibola County;us-nm-nw;us-nm-cibola;County;TRUE;26675;NM;
Colfax County;us-nm-ne;us-nm-colfax;County;TRUE;11941;NM;
Curry County;us-nm-se;us-nm-curry;County;TRUE;48954;NM;
De Baca County;us-nm-se;us-nm-de-baca;County;TRUE;1748;NM;
Doña Ana County;us-nm-sw;us-nm-dona-ana;County;TRUE;218195;NM;
Eddy County;us-nm-se;us-nm-eddy;County;TRUE;58460;NM;
Grant County;us-nm-sw;us-nm-grant;County;TRUE;26998;NM;
Guadalupe County;us-nm-ne;us-nm-guadalupe;County;TRUE;4300;NM;
Harding County;us-nm-ne;us-nm-harding;County;TRUE;625;NM;
Hidalgo County;us-nm-sw;us-nm-hidalgo;County;TRUE;4198;NM;
Lea County;us-nm-se;us-nm-lea;County;TRUE;71070;NM;
Lincoln County;us-nm-se;us-nm-lincoln;County;TRUE;19572;NM;
Los Alamos County;us-nm-ne;us-nm-los-alamos;County;TRUE;19369;NM;
Luna County;us-nm-sw;us-nm-luna;County;TRUE;23709;NM;
McKinley County;us-nm-nw;us-nm-mckinley;County;TRUE;71367;NM;
Mora County;us-nm-ne;us-nm-mora;County;TRUE;4521;NM;
Otero County;us-nm-sw;us-nm-otero;County;TRUE;67490;NM;
Quay County;us-nm-se;us-nm-quay;County;TRUE;8253;NM;
Rio Arriba County;us-nm-ne;us-nm-rio-arriba;County;TRUE;38921;NM;
Roosevelt County;us-nm-se;us-nm-roosevelt;County;TRUE;18500;NM;
Sandoval County;us-nm-nw;us-nm-sandoval;County;TRUE;146748;NM;
San Juan County;us-nm-nw;us-nm-san-juan;County;TRUE;123958;NM;
San Miguel County;us-nm-ne;us-nm-san-miguel;County;TRUE;27277;NM;
Santa Fe County;us-nm-ne;us-nm-santa-fe;County;TRUE;150358;NM;
Sierra County;us-nm-sw;us-nm-sierra;County;TRUE;10791;NM;
Socorro County;us-nm-sw;us-nm-socorro;County;TRUE;16637;NM;
Taos County;us-nm-ne;us-nm-taos;County;TRUE;32723;NM;
Torrance County;us-nm-nw;us-nm-torrance;County;TRUE;15461;NM;
Union County;us-nm-ne;us-nm-union;County;TRUE;4059;NM;
Valencia County;us-nm-nw;us-nm-valencia;County;TRUE;76688;NM;
Albuquerque;us-nm;us-nm-albuquerque;City;TRUE;562551;NM;
New Mexico;us;us-nm;State;TRUE;2096829;NM;
All New Mexico;;us-nm-all;Summary;;;NM;
Northeast Region;us-nm;us-nm-ne;Group;TRUE;440842;NM;https://www.nmhealth.org/about/ddsd/region/ne/
All Northeast Region;;us-nm-ne-all;Summary;;;NM;
Northwest Region;us-nm;us-nm-nw;Group;TRUE;771270;NM;https://www.nmhealth.org/about/ddsd/region/nw/
All Northwest Region;;us-nm-nw-all;Summary;;;NM;
Southeast Region;us-nm;us-nm-se;Group;TRUE;291172;NM;https://www.nmhealth.org/about/ddsd/region/se/
All Southeast Region;;us-nm-se-all;Summary;;;NM;
Southwest Region;us-nm;us-nm-sw;Group;TRUE;389823;NM;https://www.nmhealth.org/about/ddsd/region/sw/
All Southwest Region;;us-nm-sw-all;Summary;;;NM;
