name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Albany County;us-ny;us-ny-albany;County;TRUE;305506;NY;
Allegany County;us-ny;us-ny-allegany;County;TRUE;46091;NY;
Bronx County;us-ny-nyc;us-ny-bronx;County;TRUE;1418207;NY;
Broome County;us-ny;us-ny-broome;County;TRUE;190488;NY;
Cattaraugus County;us-ny;us-ny-cattaraugus;County;TRUE;76117;NY;
Cayuga County;us-ny;us-ny-cayuga;County;TRUE;76576;NY;
Chautauqua County;us-ny;us-ny-chautauqua;County;TRUE;126903;NY;
Chemung County;us-ny;us-ny-chemung;County;TRUE;83456;NY;
Chenango County;us-ny;us-ny-chenango;County;TRUE;47207;NY;
Clinton County;us-ny;us-ny-clinton;County;TRUE;80485;NY;
Columbia County;us-ny;us-ny-columbia;County;TRUE;59461;NY;
Cortland County;us-ny;us-ny-cortland;County;TRUE;47581;NY;
Delaware County;us-ny;us-ny-delaware;County;TRUE;44135;NY;
Dutchess County;us-ny;us-ny-dutchess;County;TRUE;294218;NY;
Erie County;us-ny;us-ny-erie;County;TRUE;918702;NY;
Essex County;us-ny;us-ny-essex;County;TRUE;36885;NY;
Franklin County;us-ny;us-ny-franklin;County;TRUE;50022;NY;
Fulton County;us-ny;us-ny-fulton;County;TRUE;53383;NY;
Genesee County;us-ny;us-ny-genesee;County;TRUE;57280;NY;
Greene County;us-ny;us-ny-greene;County;TRUE;47188;NY;
Hamilton County;us-ny;us-ny-hamilton;County;TRUE;4416;NY;
Herkimer County;us-ny;us-ny-herkimer;County;TRUE;61319;NY;
Jefferson County;us-ny;us-ny-jefferson;County;TRUE;109834;NY;
Kings County;us-ny-nyc;us-ny-kings;County;TRUE;2559903;NY;
Lewis County;us-ny;us-ny-lewis;County;TRUE;26296;NY;
Livingston County;us-ny;us-ny-livingston;County;TRUE;62914;NY;
Madison County;us-ny;us-ny-madison;County;TRUE;70941;NY;
Monroe County;us-ny;us-ny-monroe;County;TRUE;741770;NY;
Montgomery County;us-ny;us-ny-montgomery;County;TRUE;49221;NY;
Nassau County;us-ny;us-ny-nassau;County;TRUE;1356924;NY;
New York County;us-ny-nyc;us-ny-new-york;County;TRUE;1628706;NY;
Niagara County;us-ny;us-ny-niagara;County;TRUE;209281;NY;
Oneida County;us-ny;us-ny-oneida;County;TRUE;228671;NY;
Onondaga County;us-ny;us-ny-onondaga;County;TRUE;460528;NY;
Ontario County;us-ny;us-ny-ontario;County;TRUE;109777;NY;
Orange County;us-ny;us-ny-orange;County;TRUE;384940;NY;
Orleans County;us-ny;us-ny-orleans;County;TRUE;40352;NY;
Oswego County;us-ny;us-ny-oswego;County;TRUE;117124;NY;
Otsego County;us-ny;us-ny-otsego;County;TRUE;59493;NY;
Putnam County;us-ny;us-ny-putnam;County;TRUE;98320;NY;
Queens County;us-ny-nyc;us-ny-queens;County;TRUE;2253858;NY;
Rensselaer County;us-ny;us-ny-rensselaer;County;TRUE;158714;NY;
Richmond County;us-ny-nyc;us-ny-richmond;County;TRUE;476143;NY;
Rockland County;us-ny;us-ny-rockland;County;TRUE;325789;NY;
St. Lawrence County;us-ny;us-ny-st-lawrence;County;TRUE;107740;NY;
Saratoga County;us-ny;us-ny-saratoga;County;TRUE;229863;NY;
Schenectady County;us-ny;us-ny-schenectady;County;TRUE;155299;NY;
Schoharie County;us-ny;us-ny-schoharie;County;TRUE;30999;NY;
Schuyler County;us-ny;us-ny-schuyler;County;TRUE;17807;NY;
Seneca County;us-ny;us-ny-seneca;County;TRUE;34016;NY;
Steuben County;us-ny;us-ny-steuben;County;TRUE;95379;NY;
Suffolk County;us-ny;us-ny-suffolk;County;TRUE;1476601;NY;
Sullivan County;us-ny;us-ny-sullivan;County;TRUE;75432;NY;
Tioga County;us-ny;us-ny-tioga;County;TRUE;48203;NY;
Tompkins County;us-ny;us-ny-tompkins;County;TRUE;102180;NY;
Ulster County;us-ny;us-ny-ulster;County;TRUE;177573;NY;
Warren County;us-ny;us-ny-warren;County;TRUE;63944;NY;
Washington County;us-ny;us-ny-washington;County;TRUE;61204;NY;
Wayne County;us-ny;us-ny-wayne;County;TRUE;89918;NY;
Westchester County;us-ny;us-ny-westchester;County;TRUE;967506;NY;
Wyoming County;us-ny;us-ny-wyoming;County;TRUE;39859;NY;
Yates County;us-ny;us-ny-yates;County;TRUE;24913;NY;
New York;us;us-ny;State;TRUE;19453561;NY;
All New York;;us-ny-all;Summary;;;NY;
New York City Department of Health and Mental Hygiene;us-ny;us-ny-nyc;Group;TRUE;8336817;NY;https://www1.nyc.gov/site/doh/index.page
All New York City Department of Health and Mental Hygiene;;us-ny-nyc-all;Summary;;;NY;
