name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Belmont County;us-oh;us-oh-belmont;County;TRUE;67006;OH;
Oakwood;us-oh;us-oh-oakwood;City;TRUE;9496;OH;https://oakwoodohio.gov/departments/oakwood-health-district/
Allen County;us-oh;us-oh-allen;County;TRUE;102351;OH;http://www.allencountypublichealth.org
Ashland County;us-oh;us-oh-ashland;County;TRUE;53484;OH;http://ashlandhealth.com
Ashtabula County;us-oh;us-oh-ashtabula;County;TRUE;97241;OH;https://ashtabulacountyhealth.com/
Athens County;us-oh;us-oh-athens;County;TRUE;65327;OH;https://www.athenspublichealth.org/
Auglaize County;us-oh;us-oh-auglaize;County;TRUE;45656;OH;http://www.auglaizehealth.org
Butler County;us-oh;us-oh-butler;County;TRUE;383134;OH;https://health.bcohio.gov
Carroll County;us-oh;us-oh-carroll;County;TRUE;26914;OH;http://www.carroll-lhd.org
Champaign County;us-oh;us-oh-champaign;County;TRUE;38885;OH;http://www.champaignhd.com/
Clark County;us-oh;us-oh-clark;County;TRUE;134083;OH;http://www.ccchd.com
Clermont County;us-oh;us-oh-clermont;County;TRUE;206428;OH;http://www.ccphohio.org
Clinton County;us-oh;us-oh-clinton;County;TRUE;41968;OH;https://co.clinton.oh.us/departments/HealthDistrict
Columbiana County;us-oh;us-oh-columbiana;County;TRUE;101883;OH;https://columbiana-health.org/
Crawford County;us-oh;us-oh-crawford;County;TRUE;41494;OH;http://crawfordhealth.org/
Cuyahoga County;us-oh;us-oh-cuyahoga;County;TRUE;1235072;OH;http://www.ccbh.net
Darke County;us-oh;us-oh-darke;County;TRUE;51113;OH;https://darkecountyhealth.org/
Defiance County;us-oh;us-oh-defiance;County;TRUE;38087;OH;http://www.defiancecohealth.org
Delaware County;us-oh;us-oh-delaware;County;TRUE;209177;OH;http://www.delawarehealth.org
Erie County;us-oh;us-oh-erie;County;TRUE;74266;OH;http://www.echdohio.org
Fairfield County;us-oh;us-oh-fairfield;County;TRUE;157574;OH;https://www.fairfieldhealth.org/
Fayette County;us-oh;us-oh-fayette;County;TRUE;28525;OH;http://www.faycohd.org/
Franklin County;us-oh;us-oh-franklin;County;TRUE;1316756;OH;https://myfcph.org/
Gallia County;us-oh;us-oh-gallia;County;TRUE;29898;OH;http://www.galliacohealth.org
Geauga County;us-oh;us-oh-geauga;County;TRUE;93649;OH;http://www.geaugacountyhealth.org
Guernsey County;us-oh;us-oh-guernsey;County;TRUE;38875;OH;http://www.guernseycountyhealthdepartment.org/
Hancock County;us-oh;us-oh-hancock;County;TRUE;75783;OH;http://www.co.hancock.oh.us/bdhealth
Highland County;us-oh;us-oh-highland;County;TRUE;43161;OH;https://www.highlandcountyhealth.org
Hocking County;us-oh;us-oh-hocking;County;TRUE;28264;OH;https://www.hockingcountyhealthdepartment.com
Holmes County;us-oh;us-oh-holmes;County;TRUE;43960;OH;http://holmeshealth.org
Huron County;us-oh;us-oh-huron;County;TRUE;58266;OH;http://www.huroncohealth.com
Jefferson County;us-oh;us-oh-jefferson;County;TRUE;65325;OH;http://www.jchealth.com
Lake County;us-oh;us-oh-lake;County;TRUE;230149;OH;http://www.lcghd.org
Licking County;us-oh;us-oh-licking;County;TRUE;176862;OH;https://www.lickingcohealth.org/contact.html
Logan County;us-oh;us-oh-logan;County;TRUE;45672;OH;http://www.loganhealth.org
Lorain County;us-oh;us-oh-lorain;County;TRUE;309833;OH;https://www.loraincountyhealth.com
Lucas County;us-oh;us-oh-lucas;County;TRUE;428348;OH;https://www.lucascountyhealth.com/
Mahoning County;us-oh;us-oh-mahoning;County;TRUE;228683;OH;https://www.mahoninghealth.org
Marion County;us-oh;us-oh-marion;County;TRUE;65093;OH;https://marionpublichealth.org/
Medina County;us-oh;us-oh-medina;County;TRUE;179746;OH;https://medinahealth.org
Meigs County;us-oh;us-oh-meigs;County;TRUE;22907;OH;https://www.meigs-health.com/
Mercer County;us-oh;us-oh-mercer;County;TRUE;41172;OH;http://www.mchdohio.org
Miami County;us-oh;us-oh-miami;County;TRUE;106987;OH;http://www.miamicountyhealth.net
Montgomery County;us-oh;us-oh-montgomery;County;TRUE;531687;OH;http://www.phdmc.org/
Morrow County;us-oh;us-oh-morrow;County;TRUE;35328;OH;http://www.morrowcountyhealth.org
Muskingum County;us-oh;us-oh-muskingum;County;TRUE;86215;OH;http://www.zmchd.org
Noble County;us-oh;us-oh-noble;County;TRUE;14424;OH;http://www.noblecohd.org
Pickaway County;us-oh;us-oh-pickaway;County;TRUE;58457;OH;https://pickawaycountypublichealth.org/
Pike County;us-oh;us-oh-pike;County;TRUE;27772;OH;http://www.pike-health.org/
Portage County;us-oh;us-oh-portage;County;TRUE;162466;OH;https://portagehealth.net/
Preble County;us-oh;us-oh-preble;County;TRUE;40882;OH;http://www.preblecountyhealth.org
Richland County;us-oh;us-oh-richland;County;TRUE;121154;OH;https://richlandhealth.org/
Ross County;us-oh;us-oh-ross;County;TRUE;76666;OH;http://www.rosscountyhealth.org
Sandusky County;us-oh;us-oh-sandusky;County;TRUE;58518;OH;https://www.scpublichealth.com/
Scioto County;us-oh;us-oh-scioto;County;TRUE;75314;OH;http://www.sciotocountyhealthdepartment.com
Seneca County;us-oh;us-oh-seneca;County;TRUE;55178;OH;https://www.senecahealthdept.org/
Shelby County;us-oh;us-oh-shelby;County;TRUE;48590;OH;http://www.shelbycountyhealthdept.org/
Stark County;us-oh;us-oh-stark;County;TRUE;370606;OH;https://www.starkcountyohio.gov/public-health
Trumbull County;us-oh;us-oh-trumbull;County;TRUE;197974;OH;http://www.tcbh.org
Tuscarawas County;us-oh;us-oh-tuscarawas;County;TRUE;91987;OH;http://www.tchdnow.org/
Van Wert County;us-oh;us-oh-van-wert;County;TRUE;28275;OH;http://vanwertcountyhealth.org/
Vinton County;us-oh;us-oh-vinton;County;TRUE;13085;OH;https://vintonohhealth.org/
Warren County;us-oh;us-oh-warren;County;TRUE;234602;OH;http://www.wcchd.com
Williams County;us-oh;us-oh-williams;County;TRUE;36692;OH;http://www.williamscountyhealth.org/
Wood County;us-oh;us-oh-wood;County;TRUE;130817;OH;http://www.WoodCountyHealth.org
Wyandot County;us-oh;us-oh-wyandot;County;TRUE;21772;OH;http://www.wyandothealth.com/
Alliance;us-oh;us-oh-alliance;City;TRUE;21603;OH;http://www.cityofalliance.com/health
Ashtabula;us-oh;us-oh-ashtabula-city;City;TRUE;18003;OH;https://www.cityofashtabula.com/health-department
Canton;us-oh;us-oh-canton;City;TRUE;70589;OH;http://www.cantonhealth.org
Cincinnati;us-oh;us-oh-cincinnati;City;TRUE;308870;OH;https://www.cincinnati-oh.gov/health/
Cleveland;us-oh;us-oh-cleveland;City;TRUE;370365;OH;http://www.clevelandhealth.org
Columbus;us-oh;us-oh-columbus;City;TRUE;902449;OH;https://www.columbus.gov/Services/Public-Health
Conneaut;us-oh;us-oh-conneaut;City;TRUE;12372;OH;http://www.conneautohio.gov/departments/health_department.php
Coshocton;us-oh;us-oh-coshocton-city;City;TRUE;11054;OH;https://www.coshoctoncounty.net/health/
East Liverpool;us-oh;us-oh-east-liverpool;City;TRUE;9969;OH;https://eastliverpool.com/health-district/
Galion;us-oh;us-oh-galion;City;TRUE;10378;OH;https://galionhealth.org/
Hamilton;us-oh;us-oh-hamilton-city;City;TRUE;63149;OH;https://www.hamilton-oh.gov/health
Kent;us-oh;us-oh-kent;City;TRUE;27336;OH;https://odh.ohio.gov/find-local-health-districts/city-of-kent-health-department
Massillon;us-oh;us-oh-massillon;City;TRUE;32179;OH;https://massillonohio.gov/health-department/
New Philadelphia;us-oh;us-oh-new-philadelphia;City;TRUE;17602;OH;http://www.newphilaoh.com/Health-Department
Norwood;us-oh;us-oh-norwood;City;TRUE;19018;OH;https://www.norwood-ohio.com/health-department
Portsmouth;us-oh;us-oh-portsmouth;City;TRUE;18130;OH;https://portsmouthcityhealth.org/
Salem;us-oh;us-oh-salem;City;TRUE;11861;OH;http://www.salemcityhealthdistrict.org
Shelby;us-oh;us-oh-shelby-city;City;TRUE;8360;OH;https://shelbycityhealth.org/
Springdale;us-oh;us-oh-springdale;City;TRUE;10991;OH;https://www.springdale.org/health-department
Warren;us-oh;us-oh-warren-city;City;TRUE;39204;OH;https://www.warren.org/health_department/index.php
Youngstown;us-oh;us-oh-youngstown;City;TRUE;60048;OH;https://youngstownohio.gov/health
Adams County;us-oh;us-oh-adams;County;TRUE;27698;OH;
Brown County;us-oh;us-oh-brown;County;TRUE;43432;OH;
Coshocton County;us-oh;us-oh-coshocton;County;TRUE;36600;OH;
Fulton County;us-oh;us-oh-fulton;County;TRUE;42126;OH;
Greene County;us-oh;us-oh-greene;County;TRUE;168937;OH;
Hamilton County;us-oh;us-oh-hamilton;County;TRUE;817473;OH;
Hardin County;us-oh;us-oh-hardin;County;TRUE;31365;OH;
Harrison County;us-oh;us-oh-harrison;County;TRUE;15040;OH;
Henry County;us-oh;us-oh-henry;County;TRUE;27006;OH;
Jackson County;us-oh;us-oh-jackson;County;TRUE;32413;OH;
Knox County;us-oh;us-oh-knox;County;TRUE;62322;OH;
Lawrence County;us-oh;us-oh-lawrence;County;TRUE;59463;OH;
Madison County;us-oh;us-oh-madison;County;TRUE;44731;OH;
Monroe County;us-oh;us-oh-monroe;County;TRUE;13654;OH;
Morgan County;us-oh;us-oh-morgan;County;TRUE;14508;OH;
Ottawa County;us-oh;us-oh-ottawa;County;TRUE;40525;OH;
Paulding County;us-oh;us-oh-paulding;County;TRUE;18672;OH;
Perry County;us-oh;us-oh-perry;County;TRUE;36134;OH;
Putnam County;us-oh;us-oh-putnam;County;TRUE;33861;OH;
Summit County;us-oh;us-oh-summit;County;TRUE;541013;OH;
Union County;us-oh;us-oh-union;County;TRUE;58988;OH;
Washington County;us-oh;us-oh-washington;County;TRUE;59911;OH;
