name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Adams County;us-pa-scdo;us-pa-adams;County;TRUE;103009;PA;
Allegheny County;us-pa;us-pa-allegheny;County;TRUE;1216045;PA;
Armstrong County;us-pa-swdo;us-pa-armstrong;County;TRUE;64735;PA;
Beaver County;us-pa-swdo;us-pa-beaver;County;TRUE;163929;PA;
Bedford County;us-pa-scdo;us-pa-bedford;County;TRUE;47888;PA;
Berks County;us-pa-sedo;us-pa-berks;County;TRUE;421164;PA;
Blair County;us-pa-scdo;us-pa-blair;County;TRUE;121829;PA;
Bradford County;us-pa-ncdo;us-pa-bradford;County;TRUE;60323;PA;
Bucks County;us-pa;us-pa-bucks;County;TRUE;628270;PA;
Butler County;us-pa-swdo;us-pa-butler;County;TRUE;187853;PA;
Cambria County;us-pa-swdo;us-pa-cambria;County;TRUE;130192;PA;
Cameron County;us-pa-nwdo;us-pa-cameron;County;TRUE;4447;PA;
Carbon County;us-pa-nedo;us-pa-carbon;County;TRUE;64182;PA;
Centre County;us-pa-ncdo;us-pa-centre;County;TRUE;162385;PA;
Chester County;us-pa;us-pa-chester;County;TRUE;524989;PA;
Clarion County;us-pa-nwdo;us-pa-clarion;County;TRUE;38438;PA;
Clearfield County;us-pa-nwdo;us-pa-clearfield;County;TRUE;79255;PA;
Clinton County;us-pa-ncdo;us-pa-clinton;County;TRUE;38632;PA;
Columbia County;us-pa-ncdo;us-pa-columbia;County;TRUE;64964;PA;
Crawford County;us-pa-nwdo;us-pa-crawford;County;TRUE;84629;PA;
Cumberland County;us-pa-scdo;us-pa-cumberland;County;TRUE;253370;PA;
Dauphin County;us-pa-scdo;us-pa-dauphin;County;TRUE;278299;PA;
Delaware County;us-pa-sedo;us-pa-delaware;County;TRUE;566747;PA;
Elk County;us-pa-nwdo;us-pa-elk;County;TRUE;29910;PA;
Erie County;us-pa;us-pa-erie;County;TRUE;269728;PA;
Fayette County;us-pa-swdo;us-pa-fayette;County;TRUE;129274;PA;
Forest County;us-pa-nwdo;us-pa-forest;County;TRUE;7247;PA;
