name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Puerto Rico;us;us-pr;Territory;TRUE;3193694;PR;
Adjuntas Muni;us-pr;us-pr-adjuntas;County;TRUE;17363;PR;
Aguada Muni;us-pr;us-pr-aguada;County;TRUE;36694;PR;
Aguadilla Muni;us-pr;us-pr-aguadilla;County;TRUE;50265;PR;
Aguas Buenas Muni;us-pr;us-pr-aguas-buenas;County;TRUE;24814;PR;
Aibonito Muni;us-pr;us-pr-aibonito;County;TRUE;22108;PR;
All Puerto Rico;;us-pr-all;Summary;;;PR;
A?asco Muni;us-pr;us-pr-anasco;County;TRUE;26161;PR;
Arecibo Muni;us-pr;us-pr-arecibo;County;TRUE;81966;PR;
Arroyo Muni;us-pr;us-pr-arroyo;County;TRUE;17238;PR;
Barceloneta Muni;us-pr;us-pr-barceloneta;County;TRUE;23727;PR;
Barranquitas Muni;us-pr;us-pr-barranquitas;County;TRUE;27725;PR;
Bayamón Muni;us-pr;us-pr-bayamon;County;TRUE;169269;PR;
Cabo Rojo Muni;us-pr;us-pr-cabo-rojo;County;TRUE;47515;PR;
Caguas Muni;us-pr;us-pr-caguas;County;TRUE;124606;PR;
Camuy Muni;us-pr;us-pr-camuy;County;TRUE;30504;PR;
Canóvanas Muni;us-pr;us-pr-canovanas;County;TRUE;44674;PR;
Carolina Muni;us-pr;us-pr-carolina;County;TRUE;146984;PR;
Cata?o Muni;us-pr;us-pr-catano;County;TRUE;23121;PR;
Cayey Muni;us-pr;us-pr-cayey;County;TRUE;42409;PR;
Ceiba Muni;us-pr;us-pr-ceiba;County;TRUE;10904;PR;
Ciales Muni;us-pr;us-pr-ciales;County;TRUE;15808;PR;
Cidra Muni;us-pr;us-pr-cidra;County;TRUE;38307;PR;
Coamo Muni;us-pr;us-pr-coamo;County;TRUE;38336;PR;
Comerío Muni;us-pr;us-pr-comerio;County;TRUE;18648;PR;
Corozal Muni;us-pr;us-pr-corozal;County;TRUE;32293;PR;
Culebra Muni;us-pr;us-pr-culebra;County;TRUE;1714;PR;
Dorado Muni;us-pr;us-pr-dorado;County;TRUE;36141;PR;
Fajardo Muni;us-pr;us-pr-fajardo;County;TRUE;29454;PR;
Florida Muni;us-pr;us-pr-florida;County;TRUE;11317;PR;
Guánica Muni;us-pr;us-pr-guanica;County;TRUE;15383;PR;
Guayama Muni;us-pr;us-pr-guayama;County;TRUE;39465;PR;
Guayanilla Muni;us-pr;us-pr-guayanilla;County;TRUE;17623;PR;
Guaynabo Muni;us-pr;us-pr-guaynabo;County;TRUE;83728;PR;
Gurabo Muni;us-pr;us-pr-gurabo;County;TRUE;47093;PR;
Hatillo Muni;us-pr;us-pr-hatillo;County;TRUE;39218;PR;
