name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Abbeville County;us-sc-upstate;us-sc-abbeville;County;TRUE;24527;SC;
Aiken County;us-sc-midlands;us-sc-aiken;County;TRUE;170872;SC;
Allendale County;us-sc-lowcountry;us-sc-allendale;County;TRUE;8688;SC;
Anderson County;us-sc-upstate;us-sc-anderson;County;TRUE;202558;SC;
Bamberg County;us-sc-lowcountry;us-sc-bamberg;County;TRUE;14066;SC;
Barnwell County;us-sc-midlands;us-sc-barnwell;County;TRUE;20866;SC;
Beaufort County;us-sc-lowcountry;us-sc-beaufort;County;TRUE;192122;SC;
Berkeley County;us-sc-lowcountry;us-sc-berkeley;County;TRUE;227907;SC;
Calhoun County;us-sc-lowcountry;us-sc-calhoun;County;TRUE;14553;SC;
Charleston County;us-sc-lowcountry;us-sc-charleston;County;TRUE;411406;SC;
Cherokee County;us-sc-upstate;us-sc-cherokee;County;TRUE;57300;SC;
Chester County;us-sc-midlands;us-sc-chester;County;TRUE;32244;SC;
Chesterfield County;us-sc-pee-dee;us-sc-chesterfield;County;TRUE;45650;SC;
Clarendon County;us-sc-pee-dee;us-sc-clarendon;County;TRUE;33745;SC;
Colleton County;us-sc-lowcountry;us-sc-colleton;County;TRUE;37677;SC;
Darlington County;us-sc-pee-dee;us-sc-darlington;County;TRUE;66618;SC;
Dillon County;us-sc-pee-dee;us-sc-dillon;County;TRUE;30479;SC;
Dorchester County;us-sc-lowcountry;us-sc-dorchester;County;TRUE;162809;SC;
Edgefield County;us-sc-midlands;us-sc-edgefield;County;TRUE;27260;SC;
Fairfield County;us-sc-midlands;us-sc-fairfield;County;TRUE;22347;SC;
Florence County;us-sc-pee-dee;us-sc-florence;County;TRUE;138293;SC;
Georgetown County;us-sc-pee-dee;us-sc-georgetown;County;TRUE;62680;SC;
Greenville County;us-sc-upstate;us-sc-greenville;County;TRUE;523542;SC;
Greenwood County;us-sc-upstate;us-sc-greenwood;County;TRUE;70811;SC;
Hampton County;us-sc-lowcountry;us-sc-hampton;County;TRUE;19222;SC;
Horry County;us-sc-pee-dee;us-sc-horry;County;TRUE;354081;SC;
Jasper County;us-sc-lowcountry;us-sc-jasper;County;TRUE;30073;SC;
Kershaw County;us-sc-midlands;us-sc-kershaw;County;TRUE;66551;SC;
Lancaster County;us-sc-midlands;us-sc-lancaster;County;TRUE;98012;SC;
Laurens County;us-sc-upstate;us-sc-laurens;County;TRUE;67493;SC;
Lee County;us-sc-pee-dee;us-sc-lee;County;TRUE;16828;SC;
Lexington County;us-sc-midlands;us-sc-lexington;County;TRUE;298750;SC;
McCormick County;us-sc-upstate;us-sc-mccormick;County;TRUE;9463;SC;
Marion County;us-sc-pee-dee;us-sc-marion;County;TRUE;30657;SC;
Marlboro County;us-sc-pee-dee;us-sc-marlboro;County;TRUE;26118;SC;
Newberry County;us-sc-midlands;us-sc-newberry;County;TRUE;38440;SC;
Oconee County;us-sc-upstate;us-sc-oconee;County;TRUE;79546;SC;
Orangeburg County;us-sc-lowcountry;us-sc-orangeburg;County;TRUE;86175;SC;
Pickens County;us-sc-upstate;us-sc-pickens;County;TRUE;126884;SC;
Richland County;us-sc-midlands;us-sc-richland;County;TRUE;415759;SC;
Saluda County;us-sc-midlands;us-sc-saluda;County;TRUE;20473;SC;
Spartanburg County;us-sc-upstate;us-sc-spartanburg;County;TRUE;319785;SC;
Sumter County;us-sc-pee-dee;us-sc-sumter;County;TRUE;106721;SC;
Union County;us-sc-upstate;us-sc-union;County;TRUE;27316;SC;
Williamsburg County;us-sc-pee-dee;us-sc-williamsburg;County;TRUE;30368;SC;
York County;us-sc-midlands;us-sc-york;County;TRUE;280979;SC;
South Carolina;us;us-sc;State;TRUE;5148714;SC;
All South Carolina;;us-sc-all;Summary;;;SC;
Lowcountry Regional Public Health - SC DHEC;us-sc;us-sc-lowcountry;Group;TRUE;1204698;SC;https://www.dhec.sc.gov/
All Lowcountry Regional Public Health - SC DHEC;;us-sc-lowcountry-all;Summary;;;SC;
Midlands Regional Public Health - SC DHEC;us-sc;us-sc-midlands;Group;TRUE;1492553;SC;https://www.dhec.sc.gov/
All Midlands Regional Public Health - SC DHEC;;us-sc-midlands-all;Summary;;;SC;
Pee Dee Regional Public Health - SC DHEC;us-sc;us-sc-pee-dee;Group;TRUE;942238;SC;https://www.dhec.sc.gov/
All Pee Dee Regional Public Health - SC DHEC;;us-sc-pee-dee-all;Summary;;;SC;
Upstate Regional Public Health - SC DHEC;us-sc;us-sc-upstate;Group;TRUE;1509225;SC;https://www.dhec.sc.gov/
All Upstate Regional Public Health - SC DHEC;;us-sc-upstate-all;Summary;;;SC;
