name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Anderson County;us-tn-e;us-tn-anderson;County;TRUE;76978;TN;
Bedford County;us-tn;us-tn-bedford;County;TRUE;49713;TN;
Benton County;us-tn;us-tn-benton;County;TRUE;16160;TN;
Bledsoe County;us-tn-se;us-tn-bledsoe;County;TRUE;15064;TN;
Blount County;us-tn-e;us-tn-blount;County;TRUE;133088;TN;
Bradley County;us-tn-se;us-tn-bradley;County;TRUE;108110;TN;
Campbell County;us-tn-e;us-tn-campbell;County;TRUE;39842;TN;
Cannon County;us-tn-upper-cumberland;us-tn-cannon;County;TRUE;14678;TN;
Carroll County;us-tn-w;us-tn-carroll;County;TRUE;27767;TN;
Carter County;us-tn-ne;us-tn-carter;County;TRUE;56391;TN;
Cheatham County;us-tn;us-tn-cheatham;County;TRUE;40667;TN;
Chester County;us-tn;us-tn-chester;County;TRUE;17297;TN;
Claiborne County;us-tn;us-tn-claiborne;County;TRUE;31959;TN;
Clay County;us-tn;us-tn-clay;County;TRUE;7615;TN;
Cocke County;us-tn-e;us-tn-cocke;County;TRUE;36004;TN;
Coffee County;us-tn;us-tn-coffee;County;TRUE;56520;TN;
Crockett County;us-tn;us-tn-crockett;County;TRUE;14230;TN;
Cumberland County;us-tn-upper-cumberland;us-tn-cumberland;County;TRUE;60520;TN;
Davidson County;us-tn-metro;us-tn-davidson;County;TRUE;694144;TN;
Decatur County;us-tn;us-tn-decatur;County;TRUE;11663;TN;
DeKalb County;us-tn;us-tn-dekalb;County;TRUE;20490;TN;
Dickson County;us-tn-mid-cumberland;us-tn-dickson;County;TRUE;53948;TN;
Dyer County;us-tn;us-tn-dyer;County;TRUE;37159;TN;
Fayette County;us-tn-w;us-tn-fayette;County;TRUE;41133;TN;
Fentress County;us-tn;us-tn-fentress;County;TRUE;18523;TN;
Franklin County;us-tn;us-tn-franklin;County;TRUE;42208;TN;
Gibson County;us-tn-w;us-tn-gibson;County;TRUE;49133;TN;
Giles County;us-tn;us-tn-giles;County;TRUE;29464;TN;
Grainger County;us-tn;us-tn-grainger;County;TRUE;23320;TN;
Greene County;us-tn-ne;us-tn-greene;County;TRUE;69069;TN;
Grundy County;us-tn-se;us-tn-grundy;County;TRUE;13427;TN;
Hamblen County;us-tn-e;us-tn-hamblen;County;TRUE;64934;TN;
Hamilton County;us-tn;us-tn-hamilton;County;TRUE;367804;TN;
Hancock County;us-tn-ne;us-tn-hancock;County;TRUE;6620;TN;
Hardeman County;us-tn-w;us-tn-hardeman;County;TRUE;25050;TN;
Hardin County;us-tn;us-tn-hardin;County;TRUE;25652;TN;
Hawkins County;us-tn-ne;us-tn-hawkins;County;TRUE;56786;TN;
Haywood County;us-tn;us-tn-haywood;County;TRUE;17304;TN;
Henderson County;us-tn;us-tn-henderson;County;TRUE;28117;TN;
Henry County;us-tn;us-tn-henry;County;TRUE;32345;TN;
Hickman County;us-tn;us-tn-hickman;County;TRUE;25178;TN;
Houston County;us-tn;us-tn-houston;County;TRUE;8201;TN;
Humphreys County;us-tn;us-tn-humphreys;County;TRUE;18582;TN;
Jackson County;us-tn-upper-cumberland;us-tn-jackson;County;TRUE;11786;TN;
Jefferson County;us-tn;us-tn-jefferson;County;TRUE;54495;TN;
Johnson County;us-tn-ne;us-tn-johnson;County;TRUE;17788;TN;
Knox County;us-tn;us-tn-knox;County;TRUE;470313;TN;
Lake County;us-tn;us-tn-lake;County;TRUE;7016;TN;
Lauderdale County;us-tn;us-tn-lauderdale;County;TRUE;25633;TN;
Lawrence County;us-tn-sc;us-tn-lawrence;County;TRUE;44142;TN;
Lewis County;us-tn;us-tn-lewis;County;TRUE;12268;TN;
Lincoln County;us-tn-sc;us-tn-lincoln;County;TRUE;34366;TN;
Loudon County;us-tn-e;us-tn-loudon;County;TRUE;54068;TN;
McMinn County;us-tn-se;us-tn-mcminn;County;TRUE;53794;TN;
McNairy County;us-tn;us-tn-mcnairy;County;TRUE;25694;TN;
Macon County;us-tn;us-tn-macon;County;TRUE;24602;TN;
Madison County;us-tn-w;us-tn-madison;County;TRUE;97984;TN;
Marion County;us-tn-se;us-tn-marion;County;TRUE;28907;TN;
Marshall County;us-tn;us-tn-marshall;County;TRUE;34375;TN;
Maury County;us-tn-sc;us-tn-maury;County;TRUE;96387;TN;
Meigs County;us-tn-se;us-tn-meigs;County;TRUE;12422;TN;
Monroe County;us-tn-e;us-tn-monroe;County;TRUE;46545;TN;
Montgomery County;us-tn-mid-cumberland;us-tn-montgomery;County;TRUE;208993;TN;
Moore County;us-tn;us-tn-moore;County;TRUE;6488;TN;
Morgan County;us-tn;us-tn-morgan;County;TRUE;21403;TN;
Obion County;us-tn;us-tn-obion;County;TRUE;30069;TN;
Overton County;us-tn-upper-cumberland;us-tn-overton;County;TRUE;22241;TN;
Perry County;us-tn;us-tn-perry;County;TRUE;8076;TN;
Pickett County;us-tn-upper-cumberland;us-tn-pickett;County;TRUE;5048;TN;
Polk County;us-tn;us-tn-polk;County;TRUE;16832;TN;
Putnam County;us-tn-upper-cumberland;us-tn-putnam;County;TRUE;80245;TN;
Rhea County;us-tn;us-tn-rhea;County;TRUE;33167;TN;
Roane County;us-tn-e;us-tn-roane;County;TRUE;53382;TN;
Robertson County;us-tn-mid-cumberland;us-tn-robertson;County;TRUE;71813;TN;
Rutherford County;us-tn-mid-cumberland;us-tn-rutherford;County;TRUE;332285;TN;
Scott County;us-tn;us-tn-scott;County;TRUE;22068;TN;
Sequatchie County;us-tn;us-tn-sequatchie;County;TRUE;15026;TN;
Sevier County;us-tn-e;us-tn-sevier;County;TRUE;98250;TN;
Shelby County;us-tn;us-tn-shelby;County;TRUE;937166;TN;
Smith County;us-tn-upper-cumberland;us-tn-smith;County;TRUE;20157;TN;
Stewart County;us-tn-mid-cumberland;us-tn-stewart;County;TRUE;13715;TN;
Sullivan County;us-tn;us-tn-sullivan;County;TRUE;158348;TN;
Sumner County;us-tn;us-tn-sumner;County;TRUE;191283;TN;
Tipton County;us-tn-w;us-tn-tipton;County;TRUE;61599;TN;
Trousdale County;us-tn;us-tn-trousdale;County;TRUE;11284;TN;
Unicoi County;us-tn-ne;us-tn-unicoi;County;TRUE;17883;TN;
Union County;us-tn;us-tn-union;County;TRUE;19972;TN;
Van Buren County;us-tn-upper-cumberland;us-tn-van-buren;County;TRUE;5872;TN;
Warren County;us-tn-upper-cumberland;us-tn-warren;County;TRUE;41277;TN;
Washington County;us-tn-ne;us-tn-washington;County;TRUE;129375;TN;
