name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
DeWitt County;us-tx-phr-8;us-tx-dewitt;County;TRUE;20160;TX;
Ellis County;us-tx-phr-2-3;us-tx-ellis;County;TRUE;184826;TX;
Harrison County;us-tx-phr-4-5n;us-tx-harrison;County;TRUE;66553;TX;
Kendall County;us-tx-phr-8;us-tx-kendall;County;TRUE;47431;TX;
Kleberg County;us-tx-phr-11;us-tx-kleberg;County;TRUE;30680;TX;
Lampasas County;us-tx-phr-7;us-tx-lampasas;County;TRUE;21428;TX;
Live Oak County;us-tx-phr-11;us-tx-live-oak;County;TRUE;12207;TX;
Parker County;us-tx-phr-2-3;us-tx-parker;County;TRUE;142878;TX;
Uvalde County;us-tx-phr-8;us-tx-uvalde;County;TRUE;26741;TX;
Wilson County;us-tx-phr-8;us-tx-wilson;County;TRUE;51070;TX;
Addison;us-tx;us-tx-addison;City;TRUE;17026;TX;
Coppell;us-tx;us-tx-coppell;City;TRUE;42513;TX;
DeSoto;us-tx;us-tx-desoto;City;TRUE;55882;TX;
Duncanville;us-tx;us-tx-duncanville;City;TRUE;40288;TX;
Ennis;us-tx;us-tx-ennis;City;TRUE;20709;TX;
Flower Mound;us-tx;us-tx-flower-mound;City;TRUE;76630;TX;
Graham;us-tx;us-tx-graham;City;TRUE;8726;TX;
Harlingen;us-tx;us-tx-harlingen;City;TRUE;71497;TX;
Lake Dallas;us-tx;us-tx-lake-dallas;City;TRUE;7682;TX;
Lockhart;us-tx;us-tx-lockhart;City;TRUE;14463;TX;
Mesquite;us-tx;us-tx-mesquite;City;TRUE;149439;TX;
Mineral Wells;us-tx;us-tx-mineral-wells;City;TRUE;15049;TX;
North Richland Hills;us-tx;us-tx-north-richland-hills;City;TRUE;70114;TX;
Plainview;us-tx;us-tx-plainview;City;TRUE;20113;TX;
Port Arthur;us-tx;us-tx-port-arthur;City;TRUE;55897;TX;
Rowlett;us-tx;us-tx-rowlett;City;TRUE;63291;TX;
Waxahachie;us-tx;us-tx-waxahachie;City;TRUE;41801;TX;
Weatherford;us-tx;us-tx-weatherford;City;TRUE;32168;TX;
Regions 4 and 5 North - Tyler;us-tx;us-tx-phr-4-5n;Group;TRUE;1568130;TX;
Region 7 - Temple;us-tx;us-tx-phr-7;Group;TRUE;3332871;TX;
Andrews County;us-tx-phr-9-10;us-tx-andrews;County;TRUE;18705;TX;https://www.co.andrews.tx.us/205/Health-Department
Angelina County;us-tx-phr-4-5n;us-tx-angelina;County;TRUE;86715;TX;http://www.acchd.us
Austin County;us-tx-phr-6-5s;us-tx-austin;County;TRUE;30032;TX;http://www.austintexas.gov/health
Bastrop County;us-tx-phr-7;us-tx-bastrop;County;TRUE;88723;TX;https://www.co.bastrop.tx.us/page/co.public_health
Bell County;us-tx-phr-7;us-tx-bell;County;TRUE;362924;TX;http://bellcountyhealth.org
Bowie County;us-tx-phr-4-5n;us-tx-bowie;County;TRUE;93245;TX;https://www.texarkanatexas.gov/391/Health
Brazoria County;us-tx-phr-6-5s;us-tx-brazoria;County;TRUE;374264;TX;https://brazoriacountytx.gov/departments/health-department
Brazos County;us-tx-phr-7;us-tx-brazos;County;TRUE;229211;TX;http://www.brazoshealth.org
Brown County;us-tx-phr-2-3;us-tx-brown;County;TRUE;37864;TX;http://www.brownwoodtexas.gov/199/Health-Department/
Burleson County;us-tx-phr-7;us-tx-burleson;County;TRUE;18443;TX;https://www.burlesontx.com/502/Environmental-Services
Cameron County;us-tx-phr-11;us-tx-cameron;County;TRUE;423163;TX;http://www.co.cameron.tx.us/health
Cherokee County;us-tx-phr-4-5n;us-tx-cherokee;County;TRUE;52646;TX;http://cctxphd.org
Collin County;us-tx-phr-2-3;us-tx-collin;County;TRUE;1034730;TX;http://www.co.collin.tx.us
Comal County;us-tx-phr-8;us-tx-comal;County;TRUE;156209;TX;http://www.co.comal.tx.us/Health.htm
Anderson County;us-tx-phr-4-5n;us-tx-anderson;County;TRUE;57735;TX;
Aransas County;us-tx-phr-11;us-tx-aransas;County;TRUE;23510;TX;
Archer County;us-tx-phr-2-3;us-tx-archer;County;TRUE;8553;TX;
Armstrong County;us-tx-phr-1;us-tx-armstrong;County;TRUE;1887;TX;
Atascosa County;us-tx-phr-8;us-tx-atascosa;County;TRUE;51153;TX;
Bailey County;us-tx-phr-1;us-tx-bailey;County;TRUE;7000;TX;
Bandera County;us-tx-phr-8;us-tx-bandera;County;TRUE;23112;TX;
Baylor County;us-tx-phr-2-3;us-tx-baylor;County;TRUE;3509;TX;
Bee County;us-tx-phr-11;us-tx-bee;County;TRUE;32565;TX;
Dallas County;us-tx-phr-2-3;us-tx-dallas;County;TRUE;2635516;TX;http://www.dallascounty.org/department/hhs/home.html
Bexar County;us-tx-phr-8;us-tx-bexar;County;TRUE;2003554;TX;
Blanco County;us-tx-phr-7;us-tx-blanco;County;TRUE;11931;TX;
Borden County;us-tx-phr-1;us-tx-borden;County;TRUE;654;TX;
Denton County;us-tx-phr-2-3;us-tx-denton;County;TRUE;887207;TX;https://www.dentoncounty.gov/health
Bosque County;us-tx-phr-7;us-tx-bosque;County;TRUE;18685;TX;
Brewster County;us-tx-phr-9-10;us-tx-brewster;County;TRUE;9203;TX;
Briscoe County;us-tx-phr-1;us-tx-briscoe;County;TRUE;1546;TX;
Brooks County;us-tx-phr-11;us-tx-brooks;County;TRUE;7093;TX;
Burnet County;us-tx-phr-7;us-tx-burnet;County;TRUE;48155;TX;
Caldwell County;us-tx-phr-7;us-tx-caldwell;County;TRUE;43664;TX;
Ector County;us-tx-phr-9-10;us-tx-ector;County;TRUE;166223;TX;http://www.co.ector.tx.us/page/ector.Home
Calhoun County;us-tx-phr-8;us-tx-calhoun;County;TRUE;21290;TX;
