name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Accomack County;us-va-eastern-shore;us-va-accomack;County;TRUE;32316;VA;
Albemarle County;us-va-blue-ridge;us-va-albemarle;County;TRUE;109330;VA;
Alleghany County;us-va-alleghany-hd;us-va-alleghany;County;TRUE;14860;VA;
Amelia County;us-va-piedmont;us-va-amelia;County;TRUE;13145;VA;
Amherst County;us-va-central-virginia;us-va-amherst;County;TRUE;31605;VA;
Appomattox County;us-va-central-virginia;us-va-appomattox;County;TRUE;15911;VA;
Arlington County;us-va;us-va-arlington;County;TRUE;236842;VA;
Augusta County;us-va-central-shenandoah;us-va-augusta;County;TRUE;75558;VA;
Bath County;us-va-central-shenandoah;us-va-bath;County;TRUE;4147;VA;
Bedford County;us-va-central-virginia;us-va-bedford;County;TRUE;78997;VA;
Bland County;us-va-mt-rogers;us-va-bland;County;TRUE;6280;VA;
Botetourt County;us-va-alleghany-hd;us-va-botetourt;County;TRUE;33419;VA;
Brunswick County;us-va-south;us-va-brunswick;County;TRUE;16231;VA;
Buchanan County;us-va-cumberland-plateau;us-va-buchanan;County;TRUE;21004;VA;
Buckingham County;us-va-piedmont;us-va-buckingham;County;TRUE;17148;VA;
Campbell County;us-va-central-virginia;us-va-campbell;County;TRUE;54885;VA;
Caroline County;us-va-rappahannock-hd;us-va-caroline;County;TRUE;30725;VA;
Carroll County;us-va-mt-rogers;us-va-carroll;County;TRUE;29791;VA;
Charles City County;us-va-chickahominy;us-va-charles-city;County;TRUE;6963;VA;
Charlotte County;us-va-piedmont;us-va-charlotte;County;TRUE;11880;VA;
Chesterfield County;us-va;us-va-chesterfield;County;TRUE;352802;VA;
Clarke County;us-va-lord-fairfax;us-va-clarke;County;TRUE;14619;VA;
Craig County;us-va-alleghany-hd;us-va-craig;County;TRUE;5131;VA;
Culpeper County;us-va-rappahannock-rapidan;us-va-culpeper;County;TRUE;52605;VA;
Cumberland County;us-va-piedmont;us-va-cumberland;County;TRUE;9932;VA;
Dickenson County;us-va-cumberland-plateau;us-va-dickenson;County;TRUE;14318;VA;
Dinwiddie County;us-va-crater;us-va-dinwiddie;County;TRUE;28544;VA;
Essex County;us-va-three-rivers;us-va-essex;County;TRUE;10953;VA;
Fairfax County;us-va;us-va-fairfax;County;TRUE;1147532;VA;
Fauquier County;us-va-rappahannock-rapidan;us-va-fauquier;County;TRUE;71222;VA;
Floyd County;us-va-new-river;us-va-floyd;County;TRUE;15749;VA;
Fluvanna County;us-va-blue-ridge;us-va-fluvanna;County;TRUE;27270;VA;
Franklin County;us-va-west-piedmont;us-va-franklin;County;TRUE;56042;VA;
Frederick County;us-va-lord-fairfax;us-va-frederick;County;TRUE;89313;VA;
Giles County;us-va-new-river;us-va-giles;County;TRUE;16720;VA;
Gloucester County;us-va-three-rivers;us-va-gloucester;County;TRUE;37348;VA;
Goochland County;us-va-chickahominy;us-va-goochland;County;TRUE;23753;VA;
Grayson County;us-va-mt-rogers;us-va-grayson;County;TRUE;15550;VA;
Greene County;us-va-blue-ridge;us-va-greene;County;TRUE;19819;VA;
Greensville County;us-va-crater;us-va-greensville;County;TRUE;11336;VA;
Halifax County;us-va-south;us-va-halifax;County;TRUE;33911;VA;
Hanover County;us-va-chickahominy;us-va-hanover;County;TRUE;107766;VA;
Henrico County;us-va;us-va-henrico;County;TRUE;330818;VA;
Henry County;us-va-west-piedmont;us-va-henry;County;TRUE;50557;VA;
Highland County;us-va-central-shenandoah;us-va-highland;County;TRUE;2190;VA;
Isle of Wight County;us-va-west-tide;us-va-isle-of-wight;County;TRUE;37109;VA;
James City County;us-va-penisula;us-va-james-city;County;TRUE;76523;VA;
King and Queen County;us-va-three-rivers;us-va-king-and-queen;County;TRUE;7025;VA;
King George County;us-va-rappahannock-hd;us-va-king-george;County;TRUE;26836;VA;
King William County;us-va-three-rivers;us-va-king-william;County;TRUE;17148;VA;
Lancaster County;us-va-three-rivers;us-va-lancaster;County;TRUE;10603;VA;
Lee County;us-va-lenowisco;us-va-lee;County;TRUE;23423;VA;
Loudoun County;us-va;us-va-loudoun;County;TRUE;413538;VA;
Louisa County;us-va-blue-ridge;us-va-louisa;County;TRUE;37591;VA;
Lunenburg County;us-va-piedmont;us-va-lunenburg;County;TRUE;12196;VA;
Madison County;us-va-rappahannock-rapidan;us-va-madison;County;TRUE;13261;VA;
Mathews County;us-va-three-rivers;us-va-mathews;County;TRUE;8834;VA;
Mecklenburg County;us-va-south;us-va-mecklenburg;County;TRUE;30587;VA;
Middlesex County;us-va-three-rivers;us-va-middlesex;County;TRUE;10582;VA;
Montgomery County;us-va-new-river;us-va-montgomery;County;TRUE;98535;VA;
Nelson County;us-va-blue-ridge;us-va-nelson;County;TRUE;14930;VA;
New Kent County;us-va-chickahominy;us-va-new-kent;County;TRUE;23091;VA;
