name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Bakersfield;us-vt-st-albans;us-vt-bakersfield;Town;;1210;VT;
Bolton;us-vt-burlington;us-vt-bolton;Town;;1043;VT;
Chittenden;us-vt-rutland-hd;us-vt-chittenden-town;Town;;1344;VT;
Danby;us-vt-rutland-hd;us-vt-danby;Town;;1181;VT;
Grafton;us-vt-springfield;us-vt-grafton;Town;;650;VT;
Huntington;us-vt-burlington;us-vt-huntington;Town;;1843;VT;
Jamaica;us-vt-brattleboro;us-vt-jamaica;Town;;981;VT;
Lincoln;us-vt-middlebury;us-vt-lincoln;Town;;1385;VT;
Londonderry;us-vt-springfield;us-vt-londonderry;Town;;1937;VT;
Lunenburg;us-vt-st-johnsbury-hd;us-vt-lunenburg;Town;;1426;VT;
Lyndon;us-vt-st-johnsbury-hd;us-vt-lyndon;Town;;5564;VT;
Middletown Springs;us-vt-rutland-hd;us-vt-middletown-springs;Town;;696;VT;
New Haven;us-vt-middlebury;us-vt-new-haven;Town;;1741;VT;
Pawlet;us-vt-rutland-hd;us-vt-pawlet;Town;;1365;VT;
Peacham;us-vt-st-johnsbury-hd;us-vt-peacham;Town;;803;VT;
Pownal;us-vt-bennington-hd;us-vt-pownal;Town;;3280;VT;
Proctor;us-vt-rutland-hd;us-vt-proctor;Town;;1855;VT;
Sheffield;us-vt-rutland-hd;us-vt-sheffield;Town;;706;VT;
South Hero;us-vt-burlington;us-vt-south-hero;Town;;1584;VT;
Stamford;us-vt-bennington-hd;us-vt-stamford;Town;;1016;VT;
Sutton;us-vt-morrisville;us-vt-sutton;Town;;867;VT;
Townshend;us-vt-brattleboro;us-vt-townshend;Town;;1617;VT;
Wardsboro;us-vt-brattleboro;us-vt-wardsboro;Town;;904;VT;
Westford;us-vt-burlington;us-vt-westford;Town;;2401;VT;
Weston;us-vt-springfield;us-vt-weston;Town;;807;VT;
Whitingham;us-vt-brattleboro;us-vt-whitingham;Town;;1459;VT;
Wolcott;us-vt-morrisville;us-vt-wolcott;Town;;1470;VT;
Addison;us-vt-middlebury;us-vt-addison-town;Town;;1152;VT;
Bridport;us-vt-middlebury;us-vt-bridport;Town;;1224;VT;
Cornwall;us-vt-middlebury;us-vt-cornwall;Town;;1067;VT;
Ferrisburgh;us-vt-middlebury;us-vt-ferrisburgh;Town;;2654;VT;
Goshen;us-vt-rutland-hd;us-vt-goshen;Town;;129;VT;
Granville;us-vt-middlebury;us-vt-granville;Town;;371;VT;
Hancock;us-vt-middlebury;us-vt-hancock;Town;;480;VT;
Leicester;us-vt-middlebury;us-vt-leicester;Town;;1119;VT;
Monkton;us-vt-middlebury;us-vt-monkton;Town;;2054;VT;
Orwell;us-vt-middlebury;us-vt-orwell;Town;;1044;VT;
Panton;us-vt-middlebury;us-vt-panton;Town;;793;VT;
Ripton;us-vt-middlebury;us-vt-ripton;Town;;494;VT;
Salisbury;us-vt-wrj;us-vt-salisbury;Town;;1168;VT;
Shoreham;us-vt-st-albans;us-vt-shoreham;Town;;1310;VT;
Starksboro;us-vt-middlebury;us-vt-starksboro;Town;;2021;VT;
Waltham;us-vt-middlebury;us-vt-waltham;Town;;418;VT;
Weybridge;us-vt-middlebury;us-vt-weybridge;Town;;793;VT;
Whiting;us-vt-middlebury;us-vt-whiting;Town;;552;VT;
Landgrove;us-vt-bennington-hd;us-vt-landgrove;Town;;222;VT;
Peru;us-vt-bennington-hd;us-vt-peru;Town;;434;VT;
Rupert;us-vt-bennington-hd;us-vt-rupert;Town;;670;VT;
Sandgate;us-vt-st-johnsbury-hd;us-vt-sandgate;Town;;480;VT;
Searsburg;us-vt-burlington;us-vt-searsburg;Town;;141;VT;
Shaftsbury;us-vt-st-albans;us-vt-shaftsbury;Town;;3599;VT;
Sunderland;us-vt-bennington-hd;us-vt-sunderland;Town;;1251;VT;
Winhall;us-vt-bennington-hd;us-vt-winhall;Town;;752;VT;
Woodford;us-vt-bennington-hd;us-vt-woodford;Town;;272;VT;
Burke;us-vt-st-johnsbury-hd;us-vt-burke;Town;;1276;VT;
Kirby;us-vt-st-johnsbury-hd;us-vt-kirby;Town;;774;VT;
Newark;us-vt-st-johnsbury-hd;us-vt-newark;Town;;608;VT;
Ryegate;us-vt-st-johnsbury-hd;us-vt-ryegate;Town;;1103;VT;
Stannard;us-vt-st-johnsbury-hd;us-vt-stannard;Town;;189;VT;
Walden;us-vt-st-johnsbury-hd;us-vt-walden;Town;;1049;VT;
Waterford;us-vt-st-johnsbury-hd;us-vt-waterford;Town;;1482;VT;
Wheelock;us-vt-st-johnsbury-hd;us-vt-wheelock;Town;;708;VT;
Charlotte;us-vt-burlington;us-vt-charlotte;Town;;3910;VT;
Colchester;us-vt-burlington;us-vt-colchester;Town;;17546;VT;
