name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Adams County;us-wa;us-wa-adams;County;TRUE;19983;WA;
Asotin County;us-wa;us-wa-asotin;County;TRUE;22582;WA;
Benton County;us-wa-bfhd;us-wa-benton;County;TRUE;204390;WA;
Chelan County;us-wa-cdhd;us-wa-chelan;County;TRUE;77200;WA;
Clallam County;us-wa;us-wa-clallam;County;TRUE;77331;WA;
Clark County;us-wa;us-wa-clark;County;TRUE;488241;WA;
Columbia County;us-wa;us-wa-columbia;County;TRUE;3985;WA;
Cowlitz County;us-wa;us-wa-cowlitz;County;TRUE;110593;WA;
Douglas County;us-wa-cdhd;us-wa-douglas;County;TRUE;43429;WA;
Ferry County;us-wa-netchd;us-wa-ferry;County;TRUE;7627;WA;
Franklin County;us-wa-bfhd;us-wa-franklin;County;TRUE;95222;WA;
Garfield County;us-wa;us-wa-garfield;County;TRUE;2225;WA;
Grant County;us-wa;us-wa-grant;County;TRUE;97733;WA;
Grays Harbor County;us-wa;us-wa-grays-harbor;County;TRUE;75061;WA;
Island County;us-wa;us-wa-island;County;TRUE;85141;WA;
Jefferson County;us-wa;us-wa-jefferson;County;TRUE;32221;WA;
King County;us-wa;us-wa-king;County;TRUE;2252782;WA;
Kitsap County;us-wa;us-wa-kitsap;County;TRUE;271473;WA;
Kittitas County;us-wa;us-wa-kittitas;County;TRUE;47935;WA;
Klickitat County;us-wa;us-wa-klickitat;County;TRUE;22425;WA;
Lewis County;us-wa;us-wa-lewis;County;TRUE;80707;WA;
Lincoln County;us-wa;us-wa-lincoln;County;TRUE;10939;WA;
Mason County;us-wa;us-wa-mason;County;TRUE;66768;WA;
Okanogan County;us-wa;us-wa-okanogan;County;TRUE;42243;WA;
Pacific County;us-wa;us-wa-pacific;County;TRUE;22471;WA;
Pend Oreille County;us-wa-netchd;us-wa-pend-oreille;County;TRUE;13724;WA;
Pierce County;us-wa;us-wa-pierce;County;TRUE;904980;WA;
San Juan County;us-wa;us-wa-san-juan;County;TRUE;17582;WA;
Skagit County;us-wa;us-wa-skagit;County;TRUE;129205;WA;
Skamania County;us-wa;us-wa-skamania;County;TRUE;12083;WA;
Snohomish County;us-wa;us-wa-snohomish;County;TRUE;822083;WA;
Spokane County;us-wa;us-wa-spokane;County;TRUE;522798;WA;
Stevens County;us-wa-netchd;us-wa-stevens;County;TRUE;45723;WA;
Thurston County;us-wa;us-wa-thurston;County;TRUE;290536;WA;
Wahkiakum County;us-wa;us-wa-wahkiakum;County;TRUE;4488;WA;
Walla Walla County;us-wa;us-wa-walla-walla;County;TRUE;60760;WA;
Whatcom County;us-wa;us-wa-whatcom;County;TRUE;229247;WA;
Whitman County;us-wa;us-wa-whitman;County;TRUE;50104;WA;
Yakima County;us-wa;us-wa-yakima;County;TRUE;250873;WA;
Washington;us;us-wa;State;TRUE;7614893;WA;
All Washington;;us-wa-all;Summary;;;WA;
Benton-Franklin HD;us-wa;us-wa-bfhd;Group;TRUE;299612;WA;http://www.bfhd.wa.gov
All Benton-Franklin HD;;us-wa-bfhd-all;Summary;;;WA;
Chelan-Douglas HD;us-wa;us-wa-cdhd;Group;TRUE;120629;WA;http://www.cdhd.wa.gov
All Chelan-Douglas HD;;us-wa-cdhd-all;Summary;;;WA;
Northeast Tri-County HD;us-wa;us-wa-netchd;Group;TRUE;67074;WA;http://www.netchd.org
All Northeast Tri-County HD;;us-wa-netchd-all;Summary;;;WA;
