name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Albany County;us-wy;us-wy-albany;County;TRUE;38880;WY;
Big Horn County;us-wy;us-wy-big-horn;County;TRUE;11790;WY;
Campbell County;us-wy;us-wy-campbell;County;TRUE;46341;WY;
Carbon County;us-wy;us-wy-carbon;County;TRUE;14800;WY;
Converse County;us-wy;us-wy-converse;County;TRUE;13822;WY;
Crook County;us-wy;us-wy-crook;County;TRUE;7584;WY;
Fremont County;us-wy;us-wy-fremont;County;TRUE;39261;WY;
Goshen County;us-wy;us-wy-goshen;County;TRUE;13211;WY;
Hot Springs County;us-wy;us-wy-hot-springs;County;TRUE;4413;WY;
Johnson County;us-wy;us-wy-johnson;County;TRUE;8445;WY;
Laramie County;us-wy;us-wy-laramie;County;TRUE;99500;WY;
Lincoln County;us-wy;us-wy-lincoln;County;TRUE;19830;WY;
Natrona County;us-wy;us-wy-natrona;County;TRUE;79858;WY;
Niobrara County;us-wy;us-wy-niobrara;County;TRUE;2356;WY;
Park County;us-wy;us-wy-park;County;TRUE;29194;WY;
Platte County;us-wy;us-wy-platte;County;TRUE;8393;WY;
Sheridan County;us-wy;us-wy-sheridan;County;TRUE;30485;WY;
Sublette County;us-wy;us-wy-sublette;County;TRUE;9831;WY;
Sweetwater County;us-wy;us-wy-sweetwater;County;TRUE;42343;WY;
Teton County;us-wy;us-wy-teton;County;TRUE;23464;WY;
Uinta County;us-wy;us-wy-uinta;County;TRUE;20226;WY;
Washakie County;us-wy;us-wy-washakie;County;TRUE;7805;WY;
Weston County;us-wy;us-wy-weston;County;TRUE;6927;WY;
Wyoming;us;us-wy;State;TRUE;578759;WY;
All Wyoming;;us-wy-all;Summary;;;WY;
